date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2010-01-01,30,27,0.0,8.7,7,100,06:56 PM,06:42 AM,06:10 AM,05:59 PM,24,32,32,28,20,11,79,0.0,1011,30,10,206,14,Ghana
2010-01-02,30,26,0.0,8.7,7,85,07:57 PM,07:41 AM,06:10 AM,05:59 PM,24,32,32,28,19,8,78,0.0,1011,30,10,207,14,Ghana
2010-01-03,31,26,0.0,11.6,7,77,08:54 PM,08:35 AM,06:11 AM,06:00 PM,24,32,32,28,20,9,78,0.0,1010,31,10,218,14,Ghana
2010-01-04,31,26,0.0,11.6,7,70,09:48 PM,09:26 AM,06:11 AM,06:00 PM,24,32,32,28,21,10,77,0.4,1010,31,10,219,15,Ghana
2010-01-05,30,26,0.0,11.6,7,63,10:40 PM,10:13 AM,06:12 AM,06:01 PM,24,32,32,28,21,20,78,0.3,1010,30,10,225,15,Ghana
2010-01-06,31,27,0.0,11.6,7,56,11:31 PM,10:59 AM,06:12 AM,06:01 PM,24,33,33,28,24,17,79,0.3,1010,31,10,220,17,Ghana
2010-01-07,30,26,0.0,11.6,7,48,No moonrise,11:45 AM,06:12 AM,06:02 PM,24,32,32,28,21,31,80,1.6,1010,30,10,228,15,Ghana
2010-01-08,30,27,0.0,11.6,7,41,12:21 AM,12:31 PM,06:13 AM,06:02 PM,24,33,33,28,23,20,81,0.5,1010,30,10,221,16,Ghana
2010-01-09,30,27,0.0,11.6,7,34,01:12 AM,01:19 PM,06:13 AM,06:03 PM,24,33,33,28,21,13,82,0.0,1009,30,10,217,15,Ghana
2010-01-10,29,26,0.0,11.6,7,27,02:04 AM,02:09 PM,06:13 AM,06:03 PM,24,32,32,28,19,21,81,0.0,1009,29,10,209,13,Ghana
2010-01-11,30,26,0.0,11.6,7,19,02:57 AM,03:00 PM,06:14 AM,06:04 PM,24,32,32,28,20,17,79,1.0,1011,30,10,213,14,Ghana
2010-01-12,32,27,0.0,11.6,7,12,03:50 AM,03:52 PM,06:14 AM,06:04 PM,24,34,34,29,23,5,78,0.0,1010,32,10,231,16,Ghana
2010-01-13,31,27,0.0,11.6,7,5,04:41 AM,04:44 PM,06:14 AM,06:04 PM,24,33,33,28,29,4,78,0.0,1010,31,10,229,20,Ghana
2010-01-14,30,27,0.0,11.6,7,0,05:31 AM,05:34 PM,06:15 AM,06:05 PM,24,32,32,28,26,18,78,0.2,1011,30,10,218,18,Ghana
2010-01-15,30,27,0.0,11.6,7,0,06:17 AM,06:22 PM,06:15 AM,06:05 PM,24,32,32,28,25,19,79,1.3,1012,30,10,222,18,Ghana
2010-01-16,30,26,0.0,11.6,7,2,07:01 AM,07:08 PM,06:15 AM,06:06 PM,24,32,32,28,20,17,79,0.2,1013,30,10,213,14,Ghana
2010-01-17,31,26,0.0,11.6,7,10,07:42 AM,07:52 PM,06:16 AM,06:06 PM,24,32,32,28,21,11,78,0.0,1013,31,10,215,15,Ghana
2010-01-18,30,26,0.0,11.6,7,17,08:21 AM,08:35 PM,06:16 AM,06:07 PM,24,32,32,28,18,12,81,0.2,1012,30,10,207,12,Ghana
2010-01-19,31,26,0.0,11.6,7,24,08:59 AM,09:17 PM,06:16 AM,06:07 PM,24,32,32,28,16,11,79,0.0,1012,31,10,208,11,Ghana
2010-01-20,30,25,0.0,11.6,7,31,09:38 AM,10:00 PM,06:16 AM,06:07 PM,23,31,31,28,12,2,76,0.0,1011,30,10,217,9,Ghana
2010-01-21,31,25,0.0,11.6,7,39,10:16 AM,10:44 PM,06:16 AM,06:08 PM,23,31,31,28,17,3,77,0.0,1011,31,10,195,11,Ghana
2010-01-22,31,25,0.0,11.6,7,46,10:58 AM,11:31 PM,06:17 AM,06:08 PM,23,31,31,28,17,6,77,0.0,1010,31,10,207,12,Ghana
2010-01-23,30,26,0.0,11.6,7,53,11:42 AM,No moonset,06:17 AM,06:08 PM,23,31,31,28,18,6,77,0.0,1010,30,10,201,13,Ghana
2010-01-24,30,26,0.0,11.6,7,60,12:31 PM,12:21 AM,06:17 AM,06:09 PM,24,32,32,28,22,10,79,0.2,1009,30,10,217,16,Ghana
2010-01-25,30,27,0.0,11.6,7,68,01:25 PM,01:16 AM,06:17 AM,06:09 PM,24,33,33,28,24,22,80,1.0,1008,30,10,216,17,Ghana
2010-01-26,30,27,0.0,11.6,7,75,02:24 PM,02:15 AM,06:17 AM,06:09 PM,24,33,33,28,24,30,82,2.1,1009,30,10,216,17,Ghana
2010-01-27,29,27,0.0,11.6,6,82,03:28 PM,03:17 AM,06:17 AM,06:10 PM,25,32,32,28,20,43,83,2.5,1009,29,10,216,14,Ghana
2010-01-28,30,27,0.0,11.6,7,90,04:32 PM,04:19 AM,06:17 AM,06:10 PM,24,32,32,28,22,22,82,0.6,1009,30,10,218,15,Ghana
2010-01-29,32,27,0.0,11.6,7,97,05:36 PM,05:21 AM,06:17 AM,06:10 PM,25,34,34,29,23,9,80,0.0,1008,32,10,222,16,Ghana
2010-01-30,31,27,0.0,11.6,7,100,06:36 PM,06:18 AM,06:17 AM,06:11 PM,25,34,34,29,20,8,79,0.0,1009,31,10,215,14,Ghana
2010-01-31,32,27,0.0,11.6,7,100,07:33 PM,07:12 AM,06:18 AM,06:11 PM,24,34,34,29,19,5,78,0.0,1009,32,10,209,13,Ghana
2010-02-01,31,27,0.0,11.6,7,77,08:28 PM,08:02 AM,06:18 AM,06:11 PM,24,33,33,29,24,6,78,0.0,1010,31,10,214,17,Ghana
2010-02-02,33,27,0.0,11.6,7,69,09:21 PM,08:51 AM,06:18 AM,06:11 PM,24,34,34,29,27,7,75,0.0,1010,33,10,232,19,Ghana
2010-02-03,32,27,0.0,11.6,7,62,10:13 PM,09:39 AM,06:18 AM,06:11 PM,24,34,34,29,25,5,76,0.0,1010,32,10,220,18,Ghana
2010-02-04,31,27,0.0,11.6,7,54,11:06 PM,10:26 AM,06:18 AM,06:12 PM,24,34,34,29,23,8,77,0.0,1010,31,10,202,17,Ghana
2010-02-05,31,27,0.0,11.6,7,47,11:59 PM,11:15 AM,06:18 AM,06:12 PM,25,34,34,29,22,21,79,0.5,1010,31,10,205,16,Ghana
2010-02-06,32,27,0.0,11.6,7,39,No moonrise,12:05 PM,06:17 AM,06:12 PM,25,34,34,29,17,8,78,0.0,1008,32,10,206,12,Ghana
2010-02-07,32,27,0.0,11.6,7,32,12:53 AM,12:57 PM,06:17 AM,06:12 PM,24,33,33,29,22,9,77,0.0,1009,32,10,209,16,Ghana
2010-02-08,32,26,0.0,11.6,7,24,01:46 AM,01:49 PM,06:17 AM,06:12 PM,24,33,33,29,21,5,76,0.0,1009,32,10,211,15,Ghana
2010-02-09,31,27,0.0,11.6,7,16,02:38 AM,02:40 PM,06:17 AM,06:13 PM,24,33,33,29,23,20,77,0.8,1009,31,10,204,17,Ghana
2010-02-10,30,27,0.0,11.6,7,9,03:28 AM,03:31 PM,06:17 AM,06:13 PM,24,32,32,28,23,19,77,1.0,1009,30,10,209,17,Ghana
2010-02-11,31,27,0.0,11.6,7,1,04:15 AM,04:19 PM,06:17 AM,06:13 PM,24,33,33,29,20,22,78,0.2,1008,31,10,198,15,Ghana
2010-02-12,29,27,0.0,11.6,7,0,04:59 AM,05:06 PM,06:17 AM,06:13 PM,25,32,32,28,23,40,82,3.8,1009,29,9,202,16,Ghana
2010-02-13,30,27,0.0,11.6,7,0,05:41 AM,05:51 PM,06:17 AM,06:13 PM,25,33,33,28,18,23,80,0.6,1010,30,10,224,12,Ghana
2010-02-14,28,27,0.0,11.6,7,0,06:21 AM,06:33 PM,06:17 AM,06:13 PM,24,31,31,27,20,39,82,9.3,1010,28,9,265,13,Ghana
2010-02-15,31,27,0.0,11.6,7,6,07:00 AM,07:16 PM,06:16 AM,06:13 PM,24,33,33,28,27,17,75,0.0,1010,31,10,226,18,Ghana
2010-02-16,31,27,0.0,11.6,7,13,07:38 AM,07:59 PM,06:16 AM,06:13 PM,24,33,33,29,24,12,75,0.0,1010,31,10,216,17,Ghana
2010-02-17,32,28,0.0,11.6,7,21,08:16 AM,08:42 PM,06:16 AM,06:13 PM,25,34,34,29,24,18,79,0.6,1009,32,10,220,18,Ghana
2010-02-18,31,27,0.0,11.6,7,29,08:57 AM,09:28 PM,06:16 AM,06:13 PM,25,34,34,29,27,21,79,0.0,1011,31,10,218,19,Ghana
2010-02-19,31,28,0.0,11.6,7,36,09:40 AM,10:16 PM,06:16 AM,06:14 PM,25,34,34,29,26,19,79,0.5,1011,31,10,221,18,Ghana
2010-02-20,31,28,0.0,11.6,7,44,10:26 AM,11:08 PM,06:15 AM,06:14 PM,25,35,35,29,28,21,80,1.4,1010,31,10,222,20,Ghana
2010-02-21,31,28,0.0,11.6,7,51,11:17 AM,No moonset,06:15 AM,06:14 PM,25,35,35,29,24,16,80,1.2,1009,31,10,220,17,Ghana
2010-02-22,31,28,0.0,11.6,7,59,12:11 PM,12:03 AM,06:15 AM,06:14 PM,25,35,35,29,25,24,80,1.3,1008,31,10,219,18,Ghana
2010-02-23,31,28,0.0,11.6,7,66,01:11 PM,01:02 AM,06:15 AM,06:14 PM,25,35,35,29,25,30,80,0.0,1009,31,10,212,18,Ghana
2010-02-24,31,28,0.0,11.6,7,74,02:12 PM,02:02 AM,06:14 AM,06:14 PM,25,35,35,29,28,27,80,0.5,1009,31,10,216,20,Ghana
2010-02-25,31,28,0.0,10.2,7,81,03:15 PM,03:02 AM,06:14 AM,06:14 PM,25,35,35,29,29,42,79,0.2,1008,31,10,221,21,Ghana
2010-02-26,31,28,0.0,11.6,7,89,04:15 PM,04:00 AM,06:14 AM,06:14 PM,25,34,34,29,28,25,78,0.6,1008,31,10,222,20,Ghana
2010-02-27,31,28,0.0,11.6,7,97,05:14 PM,04:54 AM,06:13 AM,06:14 PM,25,35,35,29,28,19,77,0.0,1009,31,10,222,20,Ghana
2010-02-28,31,28,0.0,11.6,7,100,06:10 PM,05:47 AM,06:13 AM,06:14 PM,25,35,35,29,23,14,79,0.4,1010,31,10,207,17,Ghana
2010-03-01,31,28,0.0,11.6,7,100,07:05 PM,06:36 AM,06:13 AM,06:13 PM,25,34,34,29,20,22,79,0.5,1011,31,10,199,15,Ghana
2010-03-02,32,27,0.0,11.6,7,85,07:59 PM,07:26 AM,06:12 AM,06:13 PM,25,34,34,29,21,15,79,0.0,1011,32,10,211,16,Ghana
2010-03-03,32,28,0.0,11.6,6,78,08:53 PM,08:15 AM,06:12 AM,06:13 PM,25,35,35,29,24,19,79,0.2,1010,32,10,210,17,Ghana
2010-03-04,31,27,0.0,11.6,7,71,09:49 PM,09:05 AM,06:12 AM,06:13 PM,25,34,34,29,23,25,80,0.5,1010,31,10,207,17,Ghana
2010-03-05,30,27,0.0,11.6,7,63,10:44 PM,09:57 AM,06:11 AM,06:13 PM,25,34,34,29,21,26,80,0.8,1009,30,10,203,15,Ghana
2010-03-06,31,27,0.0,11.6,6,56,11:39 PM,10:49 AM,06:11 AM,06:13 PM,25,34,34,29,20,28,80,0.7,1009,31,9,194,15,Ghana
2010-03-07,31,27,0.0,11.6,7,49,No moonrise,11:43 AM,06:11 AM,06:13 PM,25,34,34,29,22,8,79,0.0,1010,31,10,210,16,Ghana
2010-03-08,31,28,0.0,11.6,7,42,12:32 AM,12:35 PM,06:10 AM,06:13 PM,25,34,34,29,24,20,79,1.1,1009,31,10,205,18,Ghana
2010-03-09,30,28,0.0,10.2,7,34,01:23 AM,01:26 PM,06:10 AM,06:13 PM,25,34,34,29,26,32,81,3.5,1009,30,9,218,18,Ghana
2010-03-10,31,27,0.0,11.6,7,27,02:11 AM,02:15 PM,06:09 AM,06:13 PM,25,33,33,29,21,13,79,0.8,1009,31,10,221,15,Ghana
2010-03-11,31,27,0.0,11.6,7,20,02:57 AM,03:03 PM,06:09 AM,06:13 PM,25,34,34,29,22,21,80,1.2,1010,31,10,221,16,Ghana
2010-03-12,30,28,0.0,11.6,7,12,03:40 AM,03:48 PM,06:09 AM,06:13 PM,25,34,34,29,23,29,80,1.5,1010,30,10,215,16,Ghana
2010-03-13,31,28,0.0,11.6,7,5,04:20 AM,04:31 PM,06:08 AM,06:12 PM,25,34,34,29,25,19,80,0.9,1010,31,10,218,18,Ghana
2010-03-14,31,28,0.0,11.6,7,0,04:59 AM,05:15 PM,06:08 AM,06:12 PM,25,35,35,29,28,20,80,0.7,1009,31,10,227,20,Ghana
2010-03-15,31,28,0.0,11.6,7,0,05:38 AM,05:57 PM,06:07 AM,06:12 PM,25,34,34,29,31,15,77,0.0,1010,31,10,233,21,Ghana
2010-03-16,31,27,0.0,11.6,7,2,06:16 AM,06:41 PM,06:07 AM,06:12 PM,24,34,34,29,21,38,77,1.2,1010,31,10,210,15,Ghana
2010-03-17,31,27,0.0,11.6,7,9,06:57 AM,07:27 PM,06:06 AM,06:12 PM,24,34,34,29,21,15,75,0.0,1010,31,10,224,15,Ghana
