date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,34,23,0.0,13.4,7,97,06:07 PM,04:10 AM,05:01 AM,06:45 PM,21,31,31,28,20,6,67,0.1,1004,34,10,49,15,Mozambique
2018-01-02,25,22,0.0,10.8,5,100,07:11 PM,05:13 AM,05:02 AM,06:45 PM,18,25,25,24,31,69,69,1.0,1014,25,10,175,23,Mozambique
2018-01-03,28,20,0.0,13.3,6,89,08:08 PM,06:18 AM,05:03 AM,06:45 PM,16,25,25,24,23,34,63,0.1,1020,28,10,166,17,Mozambique
2018-01-04,28,20,0.0,13.4,6,81,09:01 PM,07:25 AM,05:03 AM,06:46 PM,17,25,25,24,18,21,67,0.4,1020,28,10,153,14,Mozambique
2018-01-05,31,19,0.0,13.4,6,74,09:48 PM,08:30 AM,05:04 AM,06:46 PM,18,27,27,26,11,1,66,0.0,1013,31,10,133,9,Mozambique
2018-01-06,31,20,0.0,13.4,7,67,10:29 PM,09:33 AM,05:05 AM,06:46 PM,19,27,27,26,11,10,69,0.0,1009,31,10,150,9,Mozambique
2018-01-07,32,21,0.0,13.4,7,59,11:09 PM,10:32 AM,05:05 AM,06:46 PM,20,28,28,26,14,13,71,0.0,1009,32,10,127,10,Mozambique
2018-01-08,34,22,0.0,13.4,7,52,11:46 PM,11:29 AM,05:06 AM,06:46 PM,21,30,30,28,15,25,72,4.7,1007,34,10,145,11,Mozambique
2018-01-09,24,21,0.0,8.4,5,45,No moonrise,12:23 PM,05:07 AM,06:46 PM,20,25,25,23,31,99,84,4.6,1016,24,9,175,21,Mozambique
2018-01-10,25,20,0.0,8.4,5,38,12:22 AM,01:16 PM,05:08 AM,06:46 PM,18,23,23,22,21,86,75,0.9,1021,25,9,168,15,Mozambique
2018-01-11,27,20,0.0,12.0,6,30,12:59 AM,02:08 PM,05:08 AM,06:46 PM,16,25,25,23,16,32,65,0.3,1021,27,10,135,12,Mozambique
2018-01-12,29,20,0.0,13.4,6,23,01:37 AM,03:01 PM,05:09 AM,06:46 PM,18,26,26,25,11,8,65,0.0,1017,29,10,135,8,Mozambique
2018-01-13,31,20,0.0,13.4,7,16,02:17 AM,03:52 PM,05:10 AM,06:46 PM,19,27,27,26,10,7,68,0.0,1015,31,10,166,8,Mozambique
2018-01-14,30,21,0.0,13.4,7,9,02:59 AM,04:42 PM,05:11 AM,06:46 PM,19,28,28,26,12,14,69,0.0,1014,30,10,126,9,Mozambique
2018-01-15,32,21,0.0,13.3,7,1,03:45 AM,05:32 PM,05:12 AM,06:46 PM,20,29,29,27,14,19,68,0.0,1013,32,10,181,10,Mozambique
2018-01-16,29,23,0.0,12.0,7,0,04:32 AM,06:18 PM,05:12 AM,06:46 PM,21,27,27,25,24,66,76,1.7,1018,29,10,161,18,Mozambique
2018-01-17,31,21,0.0,13.3,7,0,05:22 AM,07:03 PM,05:13 AM,06:46 PM,20,28,28,26,15,20,73,0.0,1016,31,10,130,11,Mozambique
2018-01-18,30,22,0.0,13.3,7,6,06:13 AM,07:45 PM,05:14 AM,06:46 PM,20,27,27,26,12,26,72,0.3,1017,30,10,124,10,Mozambique
2018-01-19,30,21,0.0,13.3,7,13,07:06 AM,08:25 PM,05:15 AM,06:46 PM,19,27,27,26,11,16,68,0.0,1014,30,10,139,8,Mozambique
2018-01-20,31,20,0.0,13.3,7,20,07:59 AM,09:03 PM,05:16 AM,06:46 PM,19,27,27,26,12,11,66,0.0,1013,31,10,163,9,Mozambique
2018-01-21,29,21,0.0,13.3,6,28,08:52 AM,09:40 PM,05:16 AM,06:45 PM,18,26,26,25,16,31,67,0.1,1016,29,10,146,11,Mozambique
2018-01-22,30,20,0.0,13.3,7,35,09:46 AM,10:16 PM,05:17 AM,06:45 PM,18,26,26,25,15,19,65,0.0,1015,30,10,124,11,Mozambique
2018-01-23,31,20,0.0,13.3,7,42,10:41 AM,10:53 PM,05:18 AM,06:45 PM,18,27,27,26,14,24,66,0.0,1012,31,10,115,11,Mozambique
2018-01-24,33,22,0.0,13.3,7,49,11:38 AM,11:32 PM,05:19 AM,06:44 PM,20,30,30,27,19,32,68,1.4,1010,33,10,85,14,Mozambique
2018-01-25,31,23,0.0,13.2,7,57,12:36 PM,No moonset,05:20 AM,06:44 PM,21,29,29,27,12,46,72,0.9,1014,31,10,79,9,Mozambique
2018-01-26,30,22,0.0,13.2,7,64,01:37 PM,12:14 AM,05:20 AM,06:44 PM,20,28,28,26,13,37,71,0.4,1016,30,10,121,10,Mozambique
2018-01-27,32,22,0.0,13.2,7,71,02:40 PM,01:01 AM,05:21 AM,06:43 PM,20,29,29,27,14,21,68,0.0,1012,32,10,153,11,Mozambique
2018-01-28,31,23,0.0,13.2,7,78,03:45 PM,01:53 AM,05:22 AM,06:43 PM,20,29,29,26,21,54,71,2.1,1014,31,10,166,16,Mozambique
2018-01-29,29,22,0.0,13.2,6,86,04:49 PM,02:51 AM,05:23 AM,06:43 PM,19,27,27,25,18,36,70,1.2,1017,29,10,147,13,Mozambique
2018-01-30,31,21,0.0,13.2,7,93,05:49 PM,03:54 AM,05:23 AM,06:42 PM,19,28,28,26,14,22,67,0.0,1011,31,10,117,10,Mozambique
2018-01-31,34,23,0.0,13.2,7,97,06:45 PM,05:00 AM,05:24 AM,06:42 PM,21,30,30,27,18,41,71,1.6,1009,34,10,158,13,Mozambique
2018-02-01,31,22,0.0,13.2,7,88,07:35 PM,06:07 AM,05:25 AM,06:41 PM,21,29,29,26,15,41,74,0.0,1011,31,10,144,12,Mozambique
2018-02-02,35,23,0.0,13.2,7,81,08:20 PM,07:12 AM,05:26 AM,06:41 PM,23,33,33,29,12,15,70,0.0,1010,35,10,107,9,Mozambique
2018-02-03,29,23,0.0,9.5,6,73,09:02 PM,08:15 AM,05:26 AM,06:40 PM,20,28,28,26,29,69,73,2.9,1016,29,10,170,22,Mozambique
2018-02-04,29,22,0.0,13.1,7,66,09:42 PM,09:15 AM,05:27 AM,06:40 PM,19,27,27,26,15,39,70,0.0,1014,29,10,127,11,Mozambique
2018-02-05,29,23,0.0,10.7,6,58,10:19 PM,10:12 AM,05:28 AM,06:39 PM,20,28,28,26,13,67,73,0.0,1015,29,10,119,10,Mozambique
2018-02-06,30,24,0.0,13.1,7,51,10:57 PM,11:08 AM,05:29 AM,06:38 PM,20,28,28,26,14,43,70,0.0,1012,30,10,54,11,Mozambique
2018-02-07,29,23,0.0,10.7,7,43,11:35 PM,12:01 PM,05:29 AM,06:38 PM,20,27,27,25,13,70,74,2.1,1014,29,10,104,9,Mozambique
2018-02-08,30,21,0.0,13.1,7,36,No moonrise,12:54 PM,05:30 AM,06:37 PM,19,27,27,25,16,46,69,0.1,1015,30,10,135,12,Mozambique
2018-02-09,30,22,0.0,13.1,7,28,12:15 AM,01:46 PM,05:31 AM,06:37 PM,20,28,28,26,11,34,70,0.2,1013,30,10,111,9,Mozambique
2018-02-10,31,22,0.0,13.0,7,20,12:57 AM,02:37 PM,05:32 AM,06:36 PM,21,29,29,27,13,32,75,0.7,1011,31,10,130,10,Mozambique
2018-02-11,30,23,0.0,13.0,7,13,01:41 AM,03:27 PM,05:32 AM,06:35 PM,22,29,29,27,16,24,76,2.5,1015,30,10,139,12,Mozambique
2018-02-12,30,22,0.0,13.0,7,5,02:27 AM,04:14 PM,05:33 AM,06:34 PM,20,28,28,26,17,19,72,0.5,1018,30,10,144,12,Mozambique
2018-02-13,31,22,0.0,13.0,7,0,03:17 AM,05:00 PM,05:34 AM,06:34 PM,19,28,28,26,18,26,69,0.5,1021,31,10,156,14,Mozambique
2018-02-14,31,20,0.0,13.0,7,0,04:08 AM,05:43 PM,05:34 AM,06:33 PM,19,27,27,26,13,19,68,0.0,1018,31,10,132,10,Mozambique
2018-02-15,35,22,0.0,13.0,7,0,05:00 AM,06:24 PM,05:35 AM,06:32 PM,20,30,30,28,20,15,66,0.0,1010,35,10,200,15,Mozambique
2018-02-16,31,23,0.0,10.7,7,2,05:54 AM,07:03 PM,05:36 AM,06:31 PM,23,30,30,27,10,53,81,5.7,1011,31,9,144,7,Mozambique
2018-02-17,32,23,0.0,13.0,7,10,06:47 AM,07:41 PM,05:36 AM,06:31 PM,22,30,30,27,18,46,77,2.5,1012,32,10,184,14,Mozambique
2018-02-18,30,23,0.0,10.6,6,17,07:42 AM,08:17 PM,05:37 AM,06:30 PM,22,30,30,27,18,62,78,1.3,1012,30,10,159,13,Mozambique
2018-02-19,31,24,0.0,12.9,7,25,08:37 AM,08:54 PM,05:38 AM,06:29 PM,23,31,31,27,13,52,78,2.1,1012,31,10,105,10,Mozambique
2018-02-20,29,24,0.0,8.1,6,32,09:33 AM,09:33 PM,05:38 AM,06:28 PM,23,30,30,27,14,64,81,1.4,1013,29,10,126,10,Mozambique
2018-02-21,29,24,0.0,12.9,7,40,10:30 AM,10:13 PM,05:39 AM,06:27 PM,22,29,29,27,14,36,75,0.0,1014,29,10,127,10,Mozambique
2018-02-22,27,23,0.0,11.9,7,47,11:30 AM,10:57 PM,05:39 AM,06:26 PM,20,27,27,25,14,57,74,0.1,1014,27,10,161,10,Mozambique
2018-02-23,30,22,0.0,10.6,6,55,12:30 PM,11:45 PM,05:40 AM,06:26 PM,21,29,29,27,11,68,71,0.1,1010,30,10,158,8,Mozambique
2018-02-24,34,24,0.0,12.8,7,62,01:32 PM,No moonset,05:41 AM,06:25 PM,21,31,31,29,20,27,65,0.3,1006,34,10,187,14,Mozambique
2018-02-25,26,20,0.0,9.3,5,70,02:33 PM,12:39 AM,05:41 AM,06:24 PM,21,26,26,24,30,79,82,4.2,1011,26,10,180,20,Mozambique
2018-02-26,25,20,0.0,8.0,5,77,03:34 PM,01:38 AM,05:42 AM,06:23 PM,17,24,24,23,26,85,71,0.0,1018,25,10,167,18,Mozambique
2018-02-27,29,20,0.0,12.8,6,85,04:29 PM,02:40 AM,05:42 AM,06:22 PM,18,26,26,25,11,47,67,0.0,1016,29,10,116,8,Mozambique
2018-02-28,29,22,0.0,9.3,5,93,05:22 PM,03:45 AM,05:43 AM,06:21 PM,20,27,27,25,8,75,75,0.1,1014,29,10,191,6,Mozambique
2018-03-01,30,22,0.0,12.8,7,96,06:09 PM,04:50 AM,05:44 AM,06:20 PM,18,28,28,26,11,25,65,0.0,1014,30,10,140,8,Mozambique
2018-03-02,28,21,0.0,9.3,5,100,06:53 PM,05:54 AM,05:44 AM,06:19 PM,18,26,26,25,18,66,70,0.5,1015,28,10,165,13,Mozambique
2018-03-03,29,21,0.0,12.7,6,89,07:34 PM,06:56 AM,05:45 AM,06:18 PM,20,27,27,25,15,45,76,1.3,1014,29,10,163,11,Mozambique
2018-03-04,32,22,0.0,12.7,7,82,08:13 PM,07:56 AM,05:45 AM,06:17 PM,21,29,29,26,15,27,75,0.2,1012,32,10,145,11,Mozambique
2018-03-05,32,24,0.0,12.7,7,74,08:51 PM,08:53 AM,05:46 AM,06:16 PM,22,30,30,27,11,20,76,0.9,1013,32,10,134,8,Mozambique
2018-03-06,33,23,0.0,12.7,7,67,09:30 PM,09:50 AM,05:46 AM,06:15 PM,22,30,30,27,10,20,74,0.0,1013,33,10,129,8,Mozambique
2018-03-07,33,22,0.0,12.7,7,60,10:10 PM,10:44 AM,05:47 AM,06:14 PM,21,30,30,27,14,18,73,0.0,1011,33,10,147,10,Mozambique
2018-03-08,36,23,0.0,12.7,7,53,10:52 PM,11:38 AM,05:47 AM,06:13 PM,21,30,30,27,18,32,74,6.3,1007,36,10,242,13,Mozambique
2018-03-09,29,22,0.0,12.6,7,45,11:36 PM,12:30 PM,05:48 AM,06:12 PM,19,27,27,25,26,37,69,0.0,1012,29,10,168,19,Mozambique
2018-03-10,29,21,0.0,12.6,7,38,No moonrise,01:20 PM,05:48 AM,06:11 PM,19,27,27,25,15,29,68,0.1,1014,29,10,111,11,Mozambique
2018-03-11,31,22,0.0,12.6,7,31,12:21 AM,02:09 PM,05:49 AM,06:10 PM,20,28,28,26,16,14,69,0.0,1014,31,10,157,12,Mozambique
2018-03-12,30,23,0.0,12.6,7,24,01:10 AM,02:55 PM,05:49 AM,06:09 PM,21,29,29,26,14,38,74,0.9,1018,30,10,205,11,Mozambique
2018-03-13,30,22,0.0,12.6,7,16,02:00 AM,03:39 PM,05:50 AM,06:08 PM,20,28,28,26,15,30,72,0.2,1019,30,10,132,11,Mozambique
2018-03-14,33,22,0.0,12.6,7,9,02:52 AM,04:20 PM,05:50 AM,06:07 PM,21,30,30,27,16,13,70,0.0,1012,33,10,190,11,Mozambique
2018-03-15,34,23,0.0,12.6,7,2,03:45 AM,05:00 PM,05:51 AM,06:06 PM,21,32,32,29,12,5,66,0.0,1009,34,10,77,9,Mozambique
2018-03-16,29,22,0.0,7.8,6,0,04:39 AM,05:39 PM,05:51 AM,06:05 PM,21,28,28,25,24,70,79,2.7,1013,29,10,181,17,Mozambique
2018-03-17,24,22,0.0,10.5,6,0,05:34 AM,06:16 PM,05:52 AM,06:04 PM,17,25,25,23,36,76,71,0.4,1019,24,9,180,26,Mozambique
2018-03-18,28,19,0.0,12.5,6,5,06:29 AM,06:54 PM,05:52 AM,06:03 PM,17,25,25,23,18,25,67,0.0,1016,28,10,164,14,Mozambique
2018-03-19,32,20,0.0,12.5,7,13,07:27 AM,07:32 PM,05:53 AM,06:02 PM,20,28,28,26,12,11,70,0.0,1011,32,10,224,9,Mozambique
2018-03-20,31,23,0.0,11.8,6,20,08:24 AM,08:12 PM,05:53 AM,06:01 PM,21,29,29,27,15,40,75,0.7,1014,31,10,119,10,Mozambique
2018-03-21,34,22,0.0,12.5,7,27,09:24 AM,08:56 PM,05:54 AM,06:00 PM,21,30,30,27,21,14,71,1.0,1013,34,10,220,15,Mozambique
2018-03-22,25,21,0.0,6.0,5,34,10:25 AM,09:43 PM,05:54 AM,05:59 PM,20,25,25,23,30,100,85,6.4,1017,25,9,186,21,Mozambique
2018-03-23,21,20,0.0,6.0,5,42,11:27 AM,10:34 PM,05:55 AM,05:58 PM,19,20,20,20,20,94,90,5.8,1015,21,10,202,14,Mozambique
2018-03-24,31,20,0.0,11.6,7,49,12:27 PM,11:30 PM,05:55 AM,05:57 PM,20,28,28,26,15,22,72,0.0,1010,31,10,251,11,Mozambique
2018-03-25,36,24,0.0,11.6,7,56,01:27 PM,No moonset,05:56 AM,05:56 PM,22,33,33,29,17,7,65,2.0,1010,36,10,247,11,Mozambique
2018-03-26,28,23,0.0,7.4,5,63,02:22 PM,12:29 AM,05:56 AM,05:55 PM,21,27,27,25,25,69,80,6.0,1017,28,10,173,18,Mozambique
2018-03-27,30,21,0.0,11.6,7,71,03:14 PM,01:32 AM,05:57 AM,05:53 PM,20,27,27,25,15,28,73,0.2,1019,30,10,144,11,Mozambique
2018-03-28,30,21,0.0,11.6,7,78,04:01 PM,02:35 AM,05:57 AM,05:52 PM,20,28,28,26,11,14,71,0.0,1017,30,10,121,8,Mozambique
2018-03-29,31,20,0.0,11.6,7,85,04:45 PM,03:38 AM,05:57 AM,05:51 PM,20,28,28,26,17,4,73,0.0,1014,31,10,196,12,Mozambique
2018-03-30,34,22,0.0,11.6,7,93,05:27 PM,04:39 AM,05:58 AM,05:50 PM,21,30,30,27,17,5,70,0.0,1014,34,10,223,12,Mozambique
2018-03-31,31,24,0.0,11.6,7,96,06:06 PM,05:40 AM,05:58 AM,05:49 PM,22,29,29,27,13,44,78,3.3,1016,31,10,169,9,Mozambique
2018-04-01,28,23,0.0,7.4,6,89,06:45 PM,06:38 AM,05:59 AM,05:48 PM,21,27,27,25,16,67,79,4.0,1016,28,10,161,11,Mozambique
2018-04-02,30,23,0.0,11.6,7,81,07:24 PM,07:35 AM,05:59 AM,05:47 PM,21,28,28,26,10,17,73,0.2,1016,30,10,129,7,Mozambique
2018-04-03,30,22,0.0,11.5,7,74,08:03 PM,08:31 AM,06:00 AM,05:46 PM,20,28,28,26,10,11,72,0.0,1015,30,10,164,8,Mozambique
2018-04-04,32,22,0.0,11.5,7,66,08:45 PM,09:27 AM,06:00 AM,05:45 PM,21,29,29,27,9,13,71,0.0,1015,32,10,157,6,Mozambique
2018-04-05,32,22,0.0,8.7,7,59,09:28 PM,10:20 AM,06:01 AM,05:44 PM,21,29,29,27,13,9,73,2.7,1011,32,10,236,10,Mozambique
2018-04-06,34,24,0.0,8.7,7,51,10:14 PM,11:12 AM,06:01 AM,05:43 PM,21,31,31,28,14,16,66,0.0,1009,34,10,261,9,Mozambique
2018-04-07,31,24,0.0,8.7,7,44,11:02 PM,12:02 PM,06:01 AM,05:42 PM,21,30,30,27,15,11,71,0.0,1014,31,10,175,11,Mozambique
2018-04-08,30,23,0.0,7.2,7,36,11:51 PM,12:49 PM,06:02 AM,05:41 PM,22,29,29,26,18,37,79,1.5,1020,30,10,182,13,Mozambique
2018-04-09,29,22,0.0,7.2,7,28,No moonrise,01:34 PM,06:02 AM,05:40 PM,21,27,27,25,16,37,78,0.9,1020,29,10,130,12,Mozambique
2018-04-10,33,23,0.0,8.7,7,21,12:42 AM,02:16 PM,06:03 AM,05:39 PM,21,29,29,27,19,42,73,1.0,1014,33,10,265,14,Mozambique
2018-04-11,24,21,0.0,5.7,5,13,01:35 AM,02:56 PM,06:03 AM,05:38 PM,17,24,24,22,28,77,73,1.4,1021,24,10,177,20,Mozambique
2018-04-12,25,20,0.0,5.7,6,6,02:28 AM,03:35 PM,06:04 AM,05:37 PM,16,24,24,22,16,53,66,1.0,1023,25,10,132,12,Mozambique
2018-04-13,28,19,0.0,8.7,6,0,03:22 AM,04:12 PM,06:04 AM,05:36 PM,16,25,25,24,16,11,64,0.0,1021,28,10,133,11,Mozambique
