date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,29,23,0.0,11.6,7,97,05:29 PM,05:02 AM,06:02 AM,06:02 PM,20,28,28,26,42,0,71,0.0,1010,29,10,67,30,Somalia
2018-01-02,29,24,0.0,11.6,7,100,06:32 PM,06:05 AM,06:02 AM,06:03 PM,20,28,28,26,41,2,73,0.0,1009,29,10,74,30,Somalia
2018-01-03,29,24,0.0,11.6,7,89,07:35 PM,07:09 AM,06:03 AM,06:03 PM,20,28,28,26,44,1,71,0.0,1009,29,10,70,32,Somalia
2018-01-04,29,24,0.0,11.6,7,81,08:34 PM,08:09 AM,06:03 AM,06:04 PM,20,28,28,26,45,0,72,0.0,1010,29,10,67,32,Somalia
2018-01-05,29,24,0.0,11.6,7,74,09:31 PM,09:06 AM,06:04 AM,06:04 PM,20,28,28,26,44,1,71,0.0,1010,29,10,67,31,Somalia
2018-01-06,29,24,0.0,11.6,7,67,10:23 PM,09:59 AM,06:04 AM,06:05 PM,21,28,28,26,43,8,75,0.0,1009,29,10,72,31,Somalia
2018-01-07,29,24,0.0,11.6,7,59,11:12 PM,10:48 AM,06:04 AM,06:05 PM,21,28,28,26,43,5,76,0.0,1010,29,10,71,31,Somalia
2018-01-08,29,24,0.0,11.6,7,52,11:59 PM,11:35 AM,06:05 AM,06:05 PM,20,28,28,26,47,2,72,0.0,1011,29,10,66,34,Somalia
2018-01-09,29,24,0.0,11.6,7,45,No moonrise,12:19 PM,06:05 AM,06:06 PM,20,28,28,26,50,7,69,0.0,1012,29,10,64,36,Somalia
2018-01-10,29,24,0.0,11.6,7,38,12:45 AM,01:04 PM,06:06 AM,06:06 PM,19,27,27,26,52,3,65,0.0,1012,29,10,61,37,Somalia
2018-01-11,29,24,0.0,11.6,7,30,01:30 AM,01:48 PM,06:06 AM,06:07 PM,19,28,28,26,55,1,65,0.0,1012,29,10,63,39,Somalia
2018-01-12,29,23,0.0,11.6,7,23,02:15 AM,02:32 PM,06:06 AM,06:07 PM,18,27,27,26,52,6,63,0.0,1013,29,10,60,36,Somalia
2018-01-13,29,23,0.0,11.6,7,16,03:02 AM,03:19 PM,06:07 AM,06:07 PM,19,27,27,25,42,3,68,0.0,1013,29,10,64,30,Somalia
2018-01-14,29,23,0.0,11.6,7,9,03:49 AM,04:05 PM,06:07 AM,06:08 PM,20,28,28,26,40,5,73,0.0,1012,29,10,66,28,Somalia
2018-01-15,29,24,0.0,11.6,7,1,04:36 AM,04:53 PM,06:07 AM,06:08 PM,21,28,28,26,43,7,76,0.0,1012,29,10,67,31,Somalia
2018-01-16,29,24,0.0,11.6,7,0,05:25 AM,05:42 PM,06:08 AM,06:09 PM,22,28,28,26,43,8,77,0.0,1011,29,10,69,31,Somalia
2018-01-17,29,24,0.0,11.6,7,0,06:12 AM,06:29 PM,06:08 AM,06:09 PM,22,28,28,26,43,10,77,0.0,1010,29,10,74,32,Somalia
2018-01-18,28,24,0.0,11.6,7,6,07:00 AM,07:17 PM,06:08 AM,06:09 PM,22,28,28,26,42,18,78,0.0,1010,28,10,77,31,Somalia
2018-01-19,29,24,0.0,11.6,7,13,07:46 AM,08:03 PM,06:09 AM,06:10 PM,22,29,29,26,44,13,78,0.0,1010,29,10,72,32,Somalia
2018-01-20,29,24,0.0,11.6,7,20,08:31 AM,08:49 PM,06:09 AM,06:10 PM,21,28,28,26,44,7,75,0.0,1011,29,10,68,32,Somalia
2018-01-21,29,24,0.0,11.6,7,28,09:16 AM,09:35 PM,06:09 AM,06:10 PM,21,28,28,26,42,12,77,0.0,1012,29,10,75,31,Somalia
2018-01-22,29,24,0.0,11.6,7,35,10:00 AM,10:21 PM,06:09 AM,06:11 PM,21,28,28,26,46,6,74,0.0,1011,29,10,68,33,Somalia
2018-01-23,28,24,0.0,11.6,7,42,10:45 AM,11:08 PM,06:10 AM,06:11 PM,21,28,28,26,43,16,76,0.0,1011,28,10,75,32,Somalia
2018-01-24,28,24,0.0,10.2,7,49,11:32 AM,11:57 PM,06:10 AM,06:11 PM,21,27,27,25,37,26,77,0.0,1011,28,10,80,27,Somalia
2018-01-25,28,23,0.0,11.6,7,57,12:20 PM,No moonset,06:10 AM,06:11 PM,21,27,27,25,35,8,76,0.0,1010,28,10,77,26,Somalia
2018-01-26,28,23,0.0,11.6,7,64,01:12 PM,12:48 AM,06:10 AM,06:12 PM,21,27,27,25,36,7,77,0.0,1010,28,10,76,27,Somalia
2018-01-27,28,24,0.0,11.6,7,71,02:08 PM,01:44 AM,06:10 AM,06:12 PM,21,27,27,25,37,15,78,0.0,1011,28,10,82,27,Somalia
2018-01-28,28,24,0.0,11.6,7,78,03:08 PM,02:42 AM,06:10 AM,06:12 PM,21,28,28,26,32,26,77,0.0,1011,28,10,86,23,Somalia
2018-01-29,28,24,0.0,10.2,7,86,04:09 PM,03:43 AM,06:11 AM,06:12 PM,21,28,28,25,35,29,78,0.0,1011,28,10,81,26,Somalia
2018-01-30,29,23,0.0,11.6,7,93,05:12 PM,04:46 AM,06:11 AM,06:13 PM,20,28,28,26,41,6,73,0.0,1011,29,10,69,30,Somalia
2018-01-31,28,24,0.0,10.2,7,97,06:14 PM,05:48 AM,06:11 AM,06:13 PM,20,28,28,26,44,17,73,0.0,1012,28,10,71,33,Somalia
2018-02-01,29,24,0.0,11.6,7,88,07:13 PM,06:47 AM,06:11 AM,06:13 PM,21,28,28,26,43,10,74,0.0,1012,29,10,72,32,Somalia
2018-02-02,29,24,0.0,11.6,7,81,08:08 PM,07:44 AM,06:11 AM,06:13 PM,21,28,28,26,40,4,76,0.0,1012,29,10,75,29,Somalia
2018-02-03,29,24,0.0,11.6,7,73,09:01 PM,08:36 AM,06:11 AM,06:13 PM,22,29,29,26,40,19,78,0.0,1012,29,10,78,29,Somalia
2018-02-04,30,25,0.0,11.6,7,66,09:51 PM,09:26 AM,06:11 AM,06:13 PM,21,29,29,27,46,18,74,0.0,1011,30,10,69,33,Somalia
2018-02-05,29,24,0.0,11.6,7,58,10:38 PM,10:12 AM,06:11 AM,06:13 PM,20,28,28,26,53,3,69,0.0,1011,29,10,65,38,Somalia
2018-02-06,29,24,0.0,11.6,7,51,11:25 PM,10:58 AM,06:11 AM,06:14 PM,20,28,28,26,54,5,70,0.0,1012,29,10,64,39,Somalia
2018-02-07,29,23,0.0,11.6,7,43,No moonrise,11:44 AM,06:11 AM,06:14 PM,20,27,27,26,49,8,70,0.0,1012,29,10,64,35,Somalia
2018-02-08,28,23,0.0,11.6,7,36,12:11 AM,12:29 PM,06:11 AM,06:14 PM,21,28,28,26,40,10,75,0.0,1012,28,10,75,29,Somalia
2018-02-09,29,24,0.0,10.2,7,28,12:58 AM,01:15 PM,06:11 AM,06:14 PM,22,29,29,26,36,28,80,0.0,1011,29,10,80,26,Somalia
2018-02-10,28,25,0.0,11.6,7,20,01:45 AM,02:01 PM,06:11 AM,06:14 PM,23,29,29,26,35,30,82,0.0,1011,28,10,88,26,Somalia
2018-02-11,28,25,0.0,10.2,7,13,02:32 AM,02:49 PM,06:11 AM,06:14 PM,23,29,29,26,32,28,81,0.0,1012,28,10,91,24,Somalia
2018-02-12,29,25,0.0,10.2,7,5,03:20 AM,03:37 PM,06:11 AM,06:14 PM,23,29,29,26,33,37,80,0.0,1013,29,10,92,25,Somalia
2018-02-13,28,25,0.0,10.2,7,0,04:08 AM,04:25 PM,06:11 AM,06:14 PM,23,29,29,26,32,33,81,0.0,1014,28,10,91,24,Somalia
2018-02-14,29,25,0.0,10.2,7,0,04:56 AM,05:13 PM,06:11 AM,06:14 PM,22,29,29,27,34,47,79,0.1,1013,29,10,90,25,Somalia
2018-02-15,29,25,0.0,10.2,7,0,05:43 AM,06:00 PM,06:11 AM,06:14 PM,23,30,30,27,34,38,78,0.1,1014,29,10,84,25,Somalia
2018-02-16,29,26,0.0,11.6,7,2,06:28 AM,06:47 PM,06:11 AM,06:14 PM,23,30,30,27,38,32,79,0.0,1014,29,10,81,28,Somalia
2018-02-17,29,26,0.0,11.6,7,10,07:14 AM,07:34 PM,06:11 AM,06:14 PM,23,30,30,27,32,30,79,0.0,1012,29,10,84,24,Somalia
2018-02-18,29,25,0.0,11.6,7,17,07:59 AM,08:19 PM,06:11 AM,06:14 PM,23,30,30,27,32,39,80,0.0,1010,29,10,90,24,Somalia
2018-02-19,29,25,0.0,11.6,7,25,08:44 AM,09:07 PM,06:10 AM,06:14 PM,23,29,29,27,28,34,78,0.0,1010,29,10,102,21,Somalia
2018-02-20,29,25,0.0,11.6,7,32,09:30 AM,09:55 PM,06:10 AM,06:14 PM,23,30,30,27,30,26,78,0.0,1009,29,10,100,23,Somalia
2018-02-21,29,25,0.0,11.6,7,40,10:17 AM,10:44 PM,06:10 AM,06:14 PM,23,30,30,27,35,29,79,0.0,1008,29,10,86,26,Somalia
2018-02-22,29,25,0.0,11.6,7,47,11:08 AM,11:37 PM,06:10 AM,06:14 PM,22,30,30,27,37,23,78,0.0,1008,29,10,82,27,Somalia
2018-02-23,29,26,0.0,11.6,7,55,12:00 PM,No moonset,06:10 AM,06:14 PM,23,30,30,27,37,29,79,0.0,1008,29,10,86,28,Somalia
2018-02-24,29,26,0.0,10.2,7,62,12:56 PM,12:32 AM,06:10 AM,06:14 PM,24,31,31,27,30,49,81,0.1,1009,29,10,94,22,Somalia
2018-02-25,29,26,0.0,10.2,7,70,01:55 PM,01:30 AM,06:09 AM,06:13 PM,24,31,31,27,28,38,81,0.1,1010,29,10,103,21,Somalia
2018-02-26,30,26,0.0,11.6,7,77,02:55 PM,02:30 AM,06:09 AM,06:13 PM,23,31,31,27,33,31,78,0.1,1009,30,10,87,25,Somalia
2018-02-27,29,26,0.0,10.2,7,85,03:56 PM,03:31 AM,06:09 AM,06:13 PM,23,31,31,27,35,32,79,0.0,1009,29,10,86,26,Somalia
2018-02-28,29,25,0.0,10.2,7,93,04:55 PM,04:29 AM,06:09 AM,06:13 PM,23,30,30,27,34,25,78,0.0,1009,29,10,84,25,Somalia
2018-03-01,29,25,0.0,11.6,7,96,05:52 PM,05:27 AM,06:09 AM,06:13 PM,23,30,30,27,34,20,78,0.0,1008,29,10,89,25,Somalia
2018-03-02,29,26,0.0,11.6,7,100,06:46 PM,06:20 AM,06:08 AM,06:13 PM,23,30,30,27,29,42,79,0.1,1009,29,10,102,22,Somalia
2018-03-03,30,26,0.0,11.6,7,89,07:38 PM,07:12 AM,06:08 AM,06:13 PM,23,31,31,28,32,32,78,0.0,1009,30,10,83,24,Somalia
2018-03-04,31,26,0.0,11.6,7,82,08:27 PM,08:01 AM,06:08 AM,06:12 PM,23,31,31,28,43,9,75,0.0,1008,31,10,74,32,Somalia
2018-03-05,30,26,0.0,11.6,7,74,09:15 PM,08:48 AM,06:08 AM,06:12 PM,23,31,31,28,38,20,76,0.0,1010,30,10,80,28,Somalia
2018-03-06,30,26,0.0,11.6,7,67,10:03 PM,09:35 AM,06:07 AM,06:12 PM,23,31,31,28,38,26,77,0.0,1010,30,10,75,28,Somalia
2018-03-07,31,26,0.0,11.6,7,60,10:50 PM,10:21 AM,06:07 AM,06:12 PM,23,31,31,28,41,21,74,0.0,1010,31,10,74,31,Somalia
2018-03-08,30,26,0.0,11.6,7,53,11:38 PM,11:08 AM,06:07 AM,06:12 PM,22,31,31,28,44,10,71,0.0,1010,30,10,72,33,Somalia
2018-03-09,31,26,0.0,11.6,7,45,No moonrise,11:55 AM,06:06 AM,06:12 PM,21,30,30,28,45,6,66,0.0,1009,31,10,67,33,Somalia
2018-03-10,30,25,0.0,11.6,7,38,12:26 AM,12:42 PM,06:06 AM,06:11 PM,21,29,29,27,41,5,70,0.0,1009,30,10,70,31,Somalia
2018-03-11,30,26,0.0,11.6,7,31,01:14 AM,01:31 PM,06:06 AM,06:11 PM,23,31,31,27,36,25,77,0.0,1010,30,10,85,27,Somalia
2018-03-12,30,26,0.0,11.6,7,24,02:02 AM,02:18 PM,06:05 AM,06:11 PM,24,32,32,28,29,30,79,0.0,1011,30,10,104,22,Somalia
2018-03-13,29,27,0.0,10.2,7,16,02:49 AM,03:06 PM,06:05 AM,06:11 PM,24,32,32,28,29,50,80,0.0,1011,29,10,110,22,Somalia
2018-03-14,30,26,0.0,11.6,7,9,03:37 AM,03:54 PM,06:05 AM,06:11 PM,23,31,31,28,26,28,78,1.3,1010,30,10,111,20,Somalia
2018-03-15,30,26,0.0,11.6,7,2,04:23 AM,04:41 PM,06:04 AM,06:10 PM,23,31,31,28,35,16,74,0.0,1009,30,10,83,26,Somalia
2018-03-16,30,26,0.0,11.6,7,0,05:09 AM,05:28 PM,06:04 AM,06:10 PM,22,31,31,28,34,10,73,0.0,1009,30,10,87,26,Somalia
2018-03-17,30,26,0.0,11.6,7,0,05:55 AM,06:15 PM,06:04 AM,06:10 PM,23,31,31,28,31,15,74,0.0,1009,30,10,90,24,Somalia
2018-03-18,30,27,0.0,11.6,7,5,06:40 AM,07:03 PM,06:03 AM,06:10 PM,23,32,32,28,37,28,75,0.0,1008,30,10,88,28,Somalia
2018-03-19,30,27,0.0,11.6,7,13,07:27 AM,07:51 PM,06:03 AM,06:09 PM,24,33,33,28,38,18,77,0.0,1010,30,10,89,28,Somalia
2018-03-20,30,27,0.0,11.6,7,20,08:15 AM,08:41 PM,06:03 AM,06:09 PM,24,33,33,29,40,30,77,0.4,1011,30,10,84,30,Somalia
