date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2011-01-01,24,14,0.0,12.5,5,15,03:03 AM,03:38 PM,05:56 AM,06:10 PM,16,19,20,19,8,28,83,1.6,1010,24,8,133,6,Rwanda
2011-01-02,24,13,0.0,12.5,5,7,04:00 AM,04:34 PM,05:57 AM,06:11 PM,15,19,20,19,6,23,81,2.3,1010,24,8,167,5,Rwanda
2011-01-03,25,13,0.0,12.5,5,0,04:56 AM,05:30 PM,05:57 AM,06:11 PM,15,19,19,19,7,21,80,1.5,1011,25,8,129,5,Rwanda
2011-01-04,25,11,0.0,12.5,5,0,05:51 AM,06:21 PM,05:58 AM,06:11 PM,14,19,19,19,6,18,78,0.0,1011,25,8,145,4,Rwanda
2011-01-05,25,13,0.0,12.5,5,0,06:42 AM,07:11 PM,05:58 AM,06:12 PM,15,20,20,20,8,22,76,0.5,1011,25,10,177,5,Rwanda
2011-01-06,26,14,0.0,12.5,5,7,07:31 AM,07:56 PM,05:59 AM,06:12 PM,15,20,21,20,10,21,74,1.5,1010,26,10,157,6,Rwanda
2011-01-07,26,14,0.0,12.5,5,14,08:16 AM,08:39 PM,05:59 AM,06:13 PM,15,20,20,20,10,23,73,0.7,1011,26,10,234,6,Rwanda
2011-01-08,24,14,0.0,12.5,5,21,08:59 AM,09:20 PM,05:59 AM,06:13 PM,15,19,20,19,8,31,77,2.5,1012,24,10,157,5,Rwanda
2011-01-09,25,14,0.0,12.1,5,29,09:41 AM,10:00 PM,06:00 AM,06:13 PM,15,20,20,20,7,27,77,3.4,1012,25,10,225,4,Rwanda
2011-01-10,23,15,0.0,12.1,5,36,10:21 AM,10:39 PM,06:00 AM,06:14 PM,16,19,19,19,4,45,84,5.0,1013,23,9,210,3,Rwanda
2011-01-11,24,14,0.0,11.6,5,43,11:03 AM,11:20 PM,06:01 AM,06:14 PM,16,19,20,19,8,26,82,1.1,1012,24,8,180,5,Rwanda
2011-01-12,23,15,0.0,11.6,5,51,11:46 AM,No moonset,06:01 AM,06:15 PM,16,19,20,19,6,34,82,3.0,1012,23,9,241,3,Rwanda
2011-01-13,23,14,0.0,11.6,5,58,12:31 PM,12:03 AM,06:02 AM,06:15 PM,15,19,20,19,6,22,79,0.0,1011,23,10,185,4,Rwanda
2011-01-14,24,15,0.0,11.6,5,65,01:20 PM,12:48 AM,06:02 AM,06:15 PM,16,19,20,19,6,31,82,1.8,1012,24,10,158,4,Rwanda
2011-01-15,22,16,0.0,8.8,4,72,02:11 PM,01:37 AM,06:02 AM,06:16 PM,16,18,19,18,6,67,89,16.9,1014,22,7,245,4,Rwanda
2011-01-16,23,15,0.0,11.6,5,80,03:06 PM,02:30 AM,06:03 AM,06:16 PM,16,19,19,19,7,44,83,5.1,1013,23,9,208,5,Rwanda
2011-01-17,26,13,0.0,11.6,5,87,04:03 PM,03:26 AM,06:03 AM,06:16 PM,15,20,20,20,8,19,76,0.5,1011,26,10,132,5,Rwanda
2011-01-18,24,15,0.0,11.6,5,94,05:02 PM,04:24 AM,06:03 AM,06:16 PM,16,20,20,20,7,29,78,1.8,1010,24,10,204,4,Rwanda
2011-01-19,22,15,0.0,11.6,5,100,05:59 PM,05:24 AM,06:04 AM,06:17 PM,15,19,19,19,5,25,82,1.1,1011,22,10,155,4,Rwanda
2011-01-20,23,15,0.0,11.6,5,100,06:55 PM,06:21 AM,06:04 AM,06:17 PM,15,19,20,19,6,28,80,1.2,1011,23,10,175,4,Rwanda
2011-01-21,23,14,0.0,11.6,5,84,07:49 PM,07:18 AM,06:04 AM,06:17 PM,15,19,20,19,7,31,82,2.6,1011,23,8,163,5,Rwanda
2011-01-22,24,14,0.0,11.6,5,77,08:40 PM,08:11 AM,06:05 AM,06:17 PM,16,19,20,19,9,29,81,2.6,1011,24,9,117,6,Rwanda
2011-01-23,25,13,0.0,11.6,5,69,09:31 PM,09:04 AM,06:05 AM,06:18 PM,15,20,20,20,9,20,78,2.4,1010,25,10,187,6,Rwanda
2011-01-24,26,13,0.0,11.6,5,62,10:21 PM,09:56 AM,06:05 AM,06:18 PM,15,20,21,20,7,16,75,1.1,1011,26,10,115,5,Rwanda
2011-01-25,24,15,0.0,11.6,5,55,11:12 PM,10:49 AM,06:06 AM,06:18 PM,16,20,20,20,8,29,81,4.0,1011,24,9,185,5,Rwanda
2011-01-26,26,14,0.0,11.6,5,48,No moonrise,11:42 AM,06:06 AM,06:18 PM,15,20,21,20,9,31,74,1.0,1011,26,10,175,6,Rwanda
2011-01-27,27,13,0.0,11.6,5,40,12:05 AM,12:37 PM,06:06 AM,06:18 PM,14,20,21,20,13,8,68,0.0,1012,27,10,133,9,Rwanda
2011-01-28,27,12,0.0,11.6,5,33,12:59 AM,01:33 PM,06:06 AM,06:19 PM,14,20,21,20,11,7,69,0.0,1013,27,10,127,8,Rwanda
2011-01-29,26,12,0.0,11.6,5,26,01:55 AM,02:28 PM,06:07 AM,06:19 PM,14,20,21,20,7,10,70,0.0,1013,26,10,165,5,Rwanda
2011-01-30,27,13,0.0,11.6,5,19,02:50 AM,03:23 PM,06:07 AM,06:19 PM,14,21,21,21,9,15,70,0.8,1012,27,10,192,6,Rwanda
2011-01-31,26,14,0.0,11.6,5,15,03:44 AM,04:15 PM,06:07 AM,06:19 PM,15,21,21,21,9,18,74,2.3,1012,26,10,143,6,Rwanda
2011-02-01,24,15,0.0,11.6,5,0,04:36 AM,05:05 PM,06:07 AM,06:19 PM,16,20,20,20,7,23,80,8.7,1013,24,9,215,4,Rwanda
2011-02-02,24,14,0.0,11.6,5,0,05:25 AM,05:52 PM,06:07 AM,06:19 PM,16,19,19,19,10,28,84,7.4,1013,24,8,181,6,Rwanda
2011-02-03,25,13,0.0,11.6,5,0,06:11 AM,06:35 PM,06:08 AM,06:19 PM,16,19,20,19,8,20,81,3.9,1013,25,8,190,5,Rwanda
2011-02-04,25,15,0.0,11.6,5,3,06:55 AM,07:17 PM,06:08 AM,06:19 PM,16,20,21,20,9,21,80,6.6,1012,25,9,188,5,Rwanda
2011-02-05,25,14,0.0,11.6,5,11,07:37 AM,07:57 PM,06:08 AM,06:19 PM,16,20,21,20,6,14,78,0.3,1012,25,10,162,4,Rwanda
2011-02-06,26,13,0.0,11.6,5,18,08:18 AM,08:37 PM,06:08 AM,06:19 PM,15,20,21,20,6,13,73,0.9,1012,26,10,146,4,Rwanda
2011-02-07,27,14,0.0,11.6,5,26,09:00 AM,09:17 PM,06:08 AM,06:19 PM,14,21,21,21,8,8,67,0.0,1012,27,10,198,5,Rwanda
2011-02-08,28,14,0.0,11.6,6,33,09:42 AM,09:58 PM,06:08 AM,06:19 PM,13,21,22,21,6,8,63,0.0,1011,28,10,170,4,Rwanda
2011-02-09,27,14,0.0,11.6,6,41,10:25 AM,10:42 PM,06:08 AM,06:19 PM,14,21,22,21,7,10,64,0.0,1010,27,10,170,4,Rwanda
2011-02-10,27,14,0.0,11.6,6,48,11:12 AM,11:29 PM,06:08 AM,06:19 PM,15,21,22,21,7,17,68,2.5,1010,27,10,257,5,Rwanda
2011-02-11,26,15,0.0,11.6,6,56,12:00 PM,No moonset,06:08 AM,06:19 PM,15,21,22,21,9,16,70,3.6,1011,26,10,218,5,Rwanda
2011-02-12,27,15,0.0,11.6,6,64,12:52 PM,12:18 AM,06:09 AM,06:19 PM,14,21,21,21,9,11,65,0.0,1012,27,10,234,5,Rwanda
2011-02-13,26,15,0.0,11.6,5,71,01:47 PM,01:11 AM,06:09 AM,06:19 PM,14,20,21,20,8,29,70,0.7,1013,26,10,175,5,Rwanda
2011-02-14,25,15,0.0,11.6,5,79,02:44 PM,02:07 AM,06:09 AM,06:19 PM,16,20,21,20,6,31,76,3.6,1012,25,10,203,3,Rwanda
2011-02-15,25,16,0.0,11.6,5,86,03:41 PM,03:05 AM,06:09 AM,06:19 PM,16,20,21,20,7,42,80,7.8,1012,25,10,218,4,Rwanda
2011-02-16,27,15,0.0,11.6,6,94,04:37 PM,04:03 AM,06:09 AM,06:19 PM,15,21,21,21,6,24,73,2.5,1011,27,10,208,3,Rwanda
2011-02-17,28,15,0.0,11.6,6,100,05:33 PM,05:00 AM,06:09 AM,06:19 PM,15,22,22,22,6,15,67,0.1,1011,28,10,184,4,Rwanda
2011-02-18,28,15,0.0,11.6,6,100,06:26 PM,05:56 AM,06:09 AM,06:18 PM,13,22,22,22,7,19,59,0.1,1011,28,10,198,5,Rwanda
2011-02-19,26,15,0.0,11.6,6,84,07:19 PM,06:50 AM,06:09 AM,06:18 PM,15,21,22,21,8,24,67,4.9,1011,26,10,101,5,Rwanda
2011-02-20,25,15,0.0,11.6,5,76,08:11 PM,07:45 AM,06:08 AM,06:18 PM,16,20,21,20,9,21,77,3.7,1013,25,9,164,6,Rwanda
2011-02-21,26,14,0.0,11.6,5,69,09:04 PM,08:39 AM,06:08 AM,06:18 PM,15,20,20,20,9,25,76,2.4,1013,26,9,157,6,Rwanda
2011-02-22,26,14,0.0,11.6,5,61,09:58 PM,09:35 AM,06:08 AM,06:18 PM,15,21,21,21,9,11,71,0.4,1013,26,10,147,6,Rwanda
2011-02-23,25,15,0.0,11.6,5,53,10:54 PM,10:30 AM,06:08 AM,06:18 PM,15,20,20,20,9,22,78,2.4,1012,25,10,166,6,Rwanda
2011-02-24,25,13,0.0,11.6,5,46,11:50 PM,11:28 AM,06:08 AM,06:17 PM,15,20,20,20,7,20,77,3.2,1013,25,10,171,5,Rwanda
2011-02-25,26,13,0.0,11.6,5,38,No moonrise,12:24 PM,06:08 AM,06:17 PM,14,20,20,20,8,16,73,1.0,1011,26,10,145,5,Rwanda
2011-02-26,27,12,0.0,11.6,5,31,12:46 AM,01:20 PM,06:08 AM,06:17 PM,14,21,21,21,8,9,69,0.4,1010,27,10,171,6,Rwanda
2011-02-27,24,15,0.0,7.4,5,23,01:41 AM,02:12 PM,06:08 AM,06:17 PM,16,20,21,20,9,59,77,3.3,1013,24,9,186,6,Rwanda
2011-02-28,25,14,0.0,11.6,5,16,02:33 AM,03:02 PM,06:08 AM,06:17 PM,15,20,21,20,8,14,76,3.7,1012,25,9,177,5,Rwanda
2011-03-01,27,12,0.0,11.6,5,15,03:22 AM,03:49 PM,06:08 AM,06:16 PM,14,21,21,21,10,9,71,0.8,1011,27,10,166,6,Rwanda
2011-03-02,27,13,0.0,11.6,5,8,04:08 AM,04:33 PM,06:08 AM,06:16 PM,14,21,21,21,10,16,71,2.4,1010,27,9,144,7,Rwanda
2011-03-03,24,15,0.0,8.8,5,1,04:53 AM,05:15 PM,06:07 AM,06:16 PM,16,20,21,20,8,54,77,3.7,1013,24,9,185,5,Rwanda
2011-03-04,25,15,0.0,8.8,5,0,05:36 AM,05:56 PM,06:07 AM,06:16 PM,16,20,21,20,9,52,77,3.0,1013,25,9,182,6,Rwanda
2011-03-05,25,15,0.0,8.8,5,0,06:17 AM,06:36 PM,06:07 AM,06:15 PM,16,21,21,21,8,59,76,2.1,1012,25,9,180,5,Rwanda
2011-03-06,25,15,0.0,8.8,5,6,06:58 AM,07:16 PM,06:07 AM,06:15 PM,16,20,21,20,9,55,78,3.1,1013,25,9,186,6,Rwanda
2011-03-07,25,13,0.0,11.6,5,14,07:40 AM,07:57 PM,06:07 AM,06:15 PM,16,20,20,20,7,31,81,5.5,1013,25,7,131,4,Rwanda
2011-03-08,26,15,0.0,11.6,5,21,08:23 AM,08:39 PM,06:07 AM,06:14 PM,16,21,22,21,7,17,77,2.8,1011,26,10,127,5,Rwanda
2011-03-09,26,14,0.0,11.6,5,28,09:08 AM,09:25 PM,06:06 AM,06:14 PM,16,21,22,21,6,17,77,4.2,1011,26,9,119,4,Rwanda
