date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2011-01-01,14,8,0.0,7.0,4,15,05:17 AM,03:06 PM,08:00 AM,05:42 PM,8,10,11,10,19,56,83,2.5,1019,14,10,262,12,Algeria
2011-01-02,14,9,0.0,8.7,4,7,06:17 AM,04:01 PM,08:01 AM,05:43 PM,8,10,11,10,18,54,81,1.3,1017,14,10,251,11,Algeria
2011-01-03,13,6,0.0,8.7,3,0,07:12 AM,05:00 PM,08:01 AM,05:44 PM,6,10,10,10,12,18,78,0.2,1019,13,10,273,7,Algeria
2011-01-04,13,7,0.0,8.7,3,0,07:59 AM,06:02 PM,08:01 AM,05:45 PM,5,9,10,9,18,10,73,0.1,1020,13,10,238,10,Algeria
2011-01-05,16,8,0.0,8.7,4,0,08:38 AM,07:03 PM,08:01 AM,05:46 PM,5,10,12,10,20,25,64,0.0,1018,16,10,218,11,Algeria
2011-01-06,18,10,0.0,8.7,4,7,09:13 AM,08:03 PM,08:01 AM,05:47 PM,7,14,15,14,21,10,62,0.0,1019,18,10,199,11,Algeria
2011-01-07,19,10,0.0,8.7,4,14,09:43 AM,09:02 PM,08:01 AM,05:47 PM,5,13,14,13,26,25,56,0.0,1021,19,10,186,13,Algeria
2011-01-08,19,11,0.0,8.7,4,21,10:10 AM,09:59 PM,08:01 AM,05:48 PM,5,14,15,14,25,27,52,0.0,1023,19,10,178,13,Algeria
2011-01-09,18,10,0.0,8.7,4,29,10:35 AM,10:55 PM,08:01 AM,05:49 PM,5,12,13,12,28,36,57,0.1,1021,18,10,228,15,Algeria
2011-01-10,15,9,0.0,8.7,3,36,11:01 AM,11:51 PM,08:01 AM,05:50 PM,6,9,11,9,30,33,69,0.7,1022,15,10,246,18,Algeria
2011-01-11,14,7,0.0,7.0,4,43,11:27 AM,No moonset,08:01 AM,05:51 PM,6,8,10,8,35,25,76,0.2,1024,14,10,243,21,Algeria
2011-01-12,14,9,0.0,8.7,4,51,11:55 AM,12:47 AM,08:00 AM,05:52 PM,9,10,12,10,26,19,84,0.0,1025,14,10,281,15,Algeria
2011-01-13,16,8,0.0,8.7,4,58,12:25 PM,01:45 AM,08:00 AM,05:53 PM,8,12,12,12,11,13,77,0.0,1026,16,10,226,6,Algeria
2011-01-14,19,10,0.0,8.7,4,65,01:01 PM,02:44 AM,08:00 AM,05:54 PM,9,16,16,16,12,1,67,0.0,1024,19,10,149,7,Algeria
2011-01-15,17,10,0.0,8.7,4,72,01:44 PM,03:45 AM,08:00 AM,05:55 PM,10,17,16,17,10,0,67,0.0,1027,17,10,167,6,Algeria
2011-01-16,19,10,0.0,8.7,4,80,02:33 PM,04:45 AM,07:59 AM,05:56 PM,9,15,15,15,12,14,68,0.0,1028,19,10,193,7,Algeria
2011-01-17,15,7,0.0,8.7,4,87,03:32 PM,05:44 AM,07:59 AM,05:57 PM,8,12,12,12,8,23,75,0.0,1028,15,10,204,5,Algeria
2011-01-18,14,6,0.0,7.0,3,94,04:37 PM,06:37 AM,07:59 AM,05:58 PM,8,9,10,9,11,50,86,0.0,1025,14,9,62,7,Algeria
2011-01-19,15,7,0.0,5.4,3,100,05:48 PM,07:26 AM,07:58 AM,05:59 PM,7,10,11,10,15,73,81,0.0,1022,15,10,72,9,Algeria
2011-01-20,12,6,0.0,6.8,2,100,07:01 PM,08:08 AM,07:58 AM,06:00 PM,7,9,9,9,13,61,84,1.3,1020,12,10,64,9,Algeria
2011-01-21,8,3,0.0,8.4,3,84,08:13 PM,08:46 AM,07:57 AM,06:01 PM,3,3,6,3,20,51,82,1.4,1020,8,9,158,12,Algeria
2011-01-22,8,1,0.0,10.5,2,77,09:25 PM,09:20 AM,07:57 AM,06:02 PM,-1,2,5,2,17,23,66,0.2,1020,8,10,273,10,Algeria
2011-01-23,7,1,0.0,8.4,2,69,10:36 PM,09:53 AM,07:56 AM,06:03 PM,1,3,5,3,14,51,77,1.9,1018,7,8,124,9,Algeria
2011-01-24,12,4,0.0,10.5,3,62,11:46 PM,10:25 AM,07:56 AM,06:04 PM,5,5,8,5,30,46,82,0.2,1017,12,10,84,18,Algeria
2011-01-25,12,5,0.0,6.8,3,55,No moonrise,10:59 AM,07:55 AM,06:05 PM,6,7,9,7,21,58,83,0.4,1016,12,10,70,13,Algeria
2011-01-26,14,6,0.0,8.4,3,48,12:55 AM,11:36 AM,07:55 AM,06:06 PM,6,8,10,8,19,51,82,0.5,1008,14,10,121,12,Algeria
2011-01-27,15,8,0.0,10.0,4,40,02:04 AM,12:17 PM,07:54 AM,06:07 PM,9,10,11,10,18,71,83,0.5,999,15,10,213,11,Algeria
2011-01-28,16,9,0.0,10.0,4,33,03:10 AM,01:03 PM,07:53 AM,06:08 PM,8,10,12,10,26,43,77,0.7,1010,16,10,236,16,Algeria
2011-01-29,16,9,0.0,10.6,4,26,04:11 AM,01:56 PM,07:53 AM,06:09 PM,6,10,11,10,32,22,70,1.2,1012,16,9,232,19,Algeria
2011-01-30,13,7,0.0,10.6,3,19,05:07 AM,02:52 PM,07:52 AM,06:11 PM,6,8,10,8,25,24,75,0.9,1013,13,10,260,15,Algeria
2011-01-31,11,7,0.0,8.5,2,15,05:55 AM,03:52 PM,07:51 AM,06:12 PM,6,6,9,6,24,54,82,7.3,1013,11,9,229,17,Algeria
2011-02-01,9,7,0.0,5.3,2,0,06:37 AM,04:53 PM,07:50 AM,06:13 PM,6,5,8,5,34,98,91,24.4,1016,9,8,244,21,Algeria
2011-02-02,8,7,0.0,6.9,2,0,07:13 AM,05:53 PM,07:50 AM,06:14 PM,6,5,8,5,36,58,89,2.2,1022,8,10,327,21,Algeria
2011-02-03,11,8,0.0,10.7,3,0,07:44 AM,06:52 PM,07:49 AM,06:15 PM,6,7,9,7,24,39,82,1.1,1026,11,10,331,16,Algeria
2011-02-04,12,8,0.0,8.5,2,3,08:12 AM,07:49 PM,07:48 AM,06:16 PM,7,8,10,8,18,73,84,1.8,1031,12,8,301,12,Algeria
2011-02-05,13,5,0.0,10.7,3,11,08:38 AM,08:45 PM,07:47 AM,06:17 PM,7,10,11,10,9,11,79,0.0,1032,13,10,287,6,Algeria
2011-02-06,13,5,0.0,10.7,3,18,09:04 AM,09:42 PM,07:46 AM,06:18 PM,5,9,10,9,11,7,70,0.0,1029,13,10,239,6,Algeria
2011-02-07,15,6,0.0,10.7,3,26,09:30 AM,10:37 PM,07:45 AM,06:19 PM,4,10,10,10,12,9,67,0.0,1026,15,10,153,7,Algeria
2011-02-08,13,5,0.0,10.8,3,33,09:57 AM,11:35 PM,07:44 AM,06:20 PM,6,10,10,10,6,7,75,0.0,1023,13,10,219,4,Algeria
2011-02-09,13,5,0.0,10.8,3,41,10:26 AM,No moonset,07:43 AM,06:21 PM,6,10,11,10,9,6,75,0.0,1023,13,10,119,6,Algeria
2011-02-10,15,5,0.0,10.8,3,48,10:59 AM,12:32 AM,07:42 AM,06:22 PM,7,11,12,11,15,2,70,0.0,1024,15,10,100,9,Algeria
2011-02-11,16,7,0.0,10.8,4,56,11:37 AM,01:31 AM,07:41 AM,06:23 PM,7,12,13,12,16,1,68,0.0,1022,16,10,188,9,Algeria
2011-02-12,14,6,0.0,10.8,3,64,12:22 PM,02:29 AM,07:40 AM,06:24 PM,7,12,12,12,12,1,70,0.0,1021,14,10,251,8,Algeria
2011-02-13,14,5,0.0,10.9,3,71,01:15 PM,03:28 AM,07:39 AM,06:25 PM,7,12,12,12,11,0,72,0.0,1017,14,10,217,7,Algeria
2011-02-14,12,8,0.0,8.5,2,79,02:15 PM,04:22 AM,07:38 AM,06:26 PM,4,6,10,6,42,33,67,0.5,1013,12,9,234,26,Algeria
2011-02-15,16,7,0.0,8.5,4,86,03:23 PM,05:13 AM,07:37 AM,06:27 PM,6,9,11,9,31,42,74,2.8,1010,16,10,221,18,Algeria
2011-02-16,15,10,0.0,10.9,4,94,04:34 PM,05:58 AM,07:36 AM,06:29 PM,7,9,12,9,39,35,75,1.4,1006,15,10,236,24,Algeria
2011-02-17,13,8,0.0,11.0,3,100,05:47 PM,06:38 AM,07:35 AM,06:30 PM,5,7,10,7,42,35,73,3.7,1003,13,10,244,27,Algeria
2011-02-18,13,8,0.0,10.1,3,100,07:01 PM,07:15 AM,07:33 AM,06:31 PM,7,7,10,7,37,36,80,6.8,1014,13,10,281,22,Algeria
2011-02-19,15,6,0.0,11.0,4,84,08:14 PM,07:49 AM,07:32 AM,06:32 PM,5,9,11,9,21,21,68,0.0,1019,15,10,239,12,Algeria
2011-02-20,16,9,0.0,8.6,4,76,09:28 PM,08:23 AM,07:31 AM,06:33 PM,7,10,12,10,33,41,74,1.2,1018,16,10,240,20,Algeria
2011-02-21,12,8,0.0,11.0,4,69,10:40 PM,08:58 AM,07:30 AM,06:34 PM,8,8,11,8,39,41,83,4.4,1020,12,10,273,23,Algeria
2011-02-22,16,9,0.0,11.1,4,61,11:52 PM,09:35 AM,07:29 AM,06:35 PM,9,10,12,10,47,49,80,4.6,1016,16,8,259,28,Algeria
2011-02-23,13,7,0.0,8.6,3,53,No moonrise,10:16 AM,07:27 AM,06:36 PM,8,10,11,10,18,56,82,4.7,1020,13,10,116,13,Algeria
2011-02-24,15,5,0.0,11.1,3,46,01:01 AM,11:02 AM,07:26 AM,06:37 PM,6,11,11,11,8,12,72,0.0,1026,15,10,139,5,Algeria
2011-02-25,13,7,0.0,7.1,2,38,02:05 AM,11:53 AM,07:25 AM,06:38 PM,7,10,10,10,10,49,80,0.0,1025,13,10,201,6,Algeria
2011-02-26,16,7,0.0,11.2,4,31,03:03 AM,12:48 PM,07:23 AM,06:39 PM,7,10,11,10,19,12,78,0.0,1022,16,10,260,11,Algeria
2011-02-27,15,8,0.0,7.1,3,23,03:53 AM,01:47 PM,07:22 AM,06:40 PM,7,11,13,11,20,57,68,0.7,1016,15,10,200,13,Algeria
2011-02-28,11,6,0.0,8.6,3,16,04:37 AM,02:46 PM,07:21 AM,06:41 PM,4,6,8,6,16,51,79,2.6,1018,11,10,249,11,Algeria
2011-03-01,9,5,0.0,5.6,2,15,05:14 AM,03:46 PM,07:19 AM,06:42 PM,5,4,7,4,25,68,84,6.9,1018,9,10,288,16,Algeria
2011-03-02,11,5,0.0,11.3,3,8,05:47 AM,04:45 PM,07:18 AM,06:43 PM,3,6,8,6,17,20,75,0.8,1019,11,10,281,11,Algeria
2011-03-03,17,12,0.0,8.6,4,1,06:15 AM,05:42 PM,07:17 AM,06:43 PM,9,14,15,14,23,42,69,0.2,1015,17,10,208,14,Algeria
2011-03-04,15,10,0.0,8.6,4,0,06:42 AM,06:38 PM,07:15 AM,06:44 PM,8,11,13,11,31,56,74,1.3,1013,15,10,243,20,Algeria
2011-03-05,14,10,0.0,10.1,3,0,07:08 AM,07:35 PM,07:14 AM,06:45 PM,7,9,11,9,35,69,76,2.5,1012,14,9,236,23,Algeria
2011-03-06,13,9,0.0,8.6,4,6,07:34 AM,08:30 PM,07:13 AM,06:46 PM,6,8,11,8,32,58,76,2.1,1015,13,10,231,21,Algeria
2011-03-07,20,9,0.0,11.4,4,14,08:00 AM,09:27 PM,07:11 AM,06:47 PM,5,12,14,12,28,22,57,0.0,1017,20,10,126,15,Algeria
2011-03-08,19,10,0.0,11.4,4,21,08:29 AM,10:24 PM,07:10 AM,06:48 PM,5,14,15,14,28,24,54,0.0,1018,19,10,121,16,Algeria
2011-03-09,17,10,0.0,11.4,4,28,09:00 AM,11:22 PM,07:08 AM,06:49 PM,7,12,13,12,28,22,69,0.0,1018,17,10,109,18,Algeria
2011-03-10,15,10,0.0,10.1,4,36,09:37 AM,No moonset,07:07 AM,06:50 PM,9,11,12,11,25,39,78,0.1,1019,15,10,80,16,Algeria
2011-03-11,19,11,0.0,11.5,4,43,10:18 AM,12:20 AM,07:05 AM,06:51 PM,9,14,15,14,29,43,72,0.1,1015,19,10,134,17,Algeria
2011-03-12,16,11,0.0,10.1,4,50,11:06 AM,01:17 AM,07:04 AM,06:52 PM,9,12,13,12,32,55,76,1.6,1006,16,10,171,20,Algeria
2011-03-13,19,9,0.0,11.5,4,57,12:01 PM,02:11 AM,07:02 AM,06:53 PM,8,12,14,12,31,12,72,0.0,1007,19,10,169,17,Algeria
2011-03-14,22,11,0.0,11.5,5,65,01:03 PM,03:01 AM,07:01 AM,06:54 PM,8,15,16,15,42,9,64,0.1,1006,22,10,158,23,Algeria
2011-03-15,18,12,0.0,8.7,4,72,02:10 PM,03:48 AM,07:00 AM,06:55 PM,11,13,14,13,28,49,81,7.8,1005,18,8,242,16,Algeria
2011-03-16,15,8,0.0,11.6,4,79,03:21 PM,04:29 AM,06:58 AM,06:56 PM,7,9,11,9,37,30,75,0.0,1010,15,10,242,23,Algeria
2011-03-17,14,9,0.0,8.8,3,86,04:33 PM,05:07 AM,06:57 AM,06:57 PM,8,9,11,9,41,55,78,1.7,1016,14,10,252,24,Algeria
2011-03-18,16,8,0.0,11.6,4,94,05:46 PM,05:42 AM,06:55 AM,06:57 PM,9,11,12,11,23,16,81,0.7,1022,16,10,276,14,Algeria
2011-03-19,17,6,0.0,11.6,4,100,07:00 PM,06:16 AM,06:54 AM,06:58 PM,9,13,13,13,12,1,76,0.0,1024,17,10,229,8,Algeria
2011-03-20,17,6,0.0,11.6,4,100,08:14 PM,06:51 AM,06:52 AM,06:59 PM,7,13,13,13,17,1,70,0.0,1022,17,10,86,10,Algeria
2011-03-21,14,5,0.0,11.6,3,84,09:29 PM,07:29 AM,06:51 AM,07:00 PM,7,10,11,10,17,15,79,0.0,1023,14,10,116,12,Algeria
2011-03-22,16,8,0.0,11.6,4,77,10:42 PM,08:09 AM,06:49 AM,07:01 PM,8,10,12,10,25,39,77,0.3,1023,16,9,102,15,Algeria
2011-03-23,17,11,0.0,11.6,4,70,11:51 PM,08:55 AM,06:48 AM,07:02 PM,8,12,13,12,31,35,72,0.1,1024,17,10,124,18,Algeria
2011-03-24,18,12,0.0,8.9,4,63,No moonrise,09:46 AM,06:46 AM,07:03 PM,8,13,14,13,23,55,67,0.5,1026,18,9,130,13,Algeria
2011-03-25,19,11,0.0,11.6,4,55,12:54 AM,10:41 AM,06:45 AM,07:04 PM,10,13,14,13,20,42,74,0.2,1023,19,9,179,12,Algeria
2011-03-26,19,11,0.0,11.6,4,48,01:48 AM,11:41 AM,06:43 AM,07:05 PM,12,16,17,16,13,5,76,0.0,1018,19,10,172,8,Algeria
2011-03-27,19,12,0.0,11.6,4,41,02:35 AM,12:41 PM,06:42 AM,07:05 PM,11,15,16,15,20,9,75,0.0,1017,19,10,240,12,Algeria
2011-03-28,18,10,0.0,11.6,4,34,03:15 AM,01:41 PM,06:40 AM,07:06 PM,9,13,14,13,27,21,75,0.0,1019,18,10,265,16,Algeria
2011-03-29,18,9,0.0,11.6,4,26,03:49 AM,02:39 PM,06:39 AM,07:07 PM,10,13,14,13,20,38,78,0.9,1019,18,10,260,12,Algeria
2011-03-30,16,10,0.0,11.6,4,19,04:18 AM,03:37 PM,06:37 AM,07:08 PM,10,12,13,12,23,30,82,2.0,1021,16,10,259,14,Algeria
2011-03-31,17,9,0.0,11.6,4,15,04:46 AM,04:33 PM,06:36 AM,07:09 PM,9,13,13,13,13,9,77,0.0,1027,17,10,249,8,Algeria
2011-04-01,20,9,0.0,11.6,4,0,05:12 AM,05:29 PM,06:34 AM,07:10 PM,10,16,16,16,15,5,70,0.0,1025,20,10,104,9,Algeria
2011-04-02,24,13,0.0,11.6,5,0,05:38 AM,06:25 PM,06:33 AM,07:11 PM,13,19,20,19,18,0,68,0.0,1019,24,10,147,10,Algeria
2011-04-03,26,14,0.0,11.6,5,0,06:04 AM,07:21 PM,06:31 AM,07:12 PM,12,21,21,21,20,1,57,0.0,1014,26,10,120,11,Algeria
2011-04-04,21,14,0.0,11.6,5,3,06:32 AM,08:18 PM,06:30 AM,07:12 PM,13,19,20,19,17,0,67,0.0,1017,21,10,173,11,Algeria
2011-04-05,21,12,0.0,11.6,5,10,07:03 AM,09:16 PM,06:28 AM,07:13 PM,13,18,19,18,19,2,76,0.0,1022,21,10,73,12,Algeria
2011-04-06,23,12,0.0,11.6,5,18,07:38 AM,10:13 PM,06:27 AM,07:14 PM,12,17,18,17,25,2,72,0.0,1023,23,10,71,14,Algeria
2011-04-07,22,11,0.0,11.6,5,25,08:18 AM,11:11 PM,06:26 AM,07:15 PM,10,17,18,17,23,1,66,0.0,1023,22,10,73,13,Algeria
2011-04-08,22,11,0.0,11.6,5,33,09:04 AM,No moonset,06:24 AM,07:16 PM,13,20,20,20,10,0,66,0.0,1022,22,10,197,6,Algeria
2011-04-09,24,12,0.0,11.6,5,40,09:56 AM,12:05 AM,06:23 AM,07:17 PM,12,21,21,21,11,0,59,0.0,1019,24,10,267,7,Algeria
2011-04-10,23,13,0.0,11.6,5,48,10:54 AM,12:56 AM,06:21 AM,07:18 PM,12,20,20,20,12,1,61,0.0,1018,23,10,229,8,Algeria
2011-04-11,19,11,0.0,11.6,4,56,11:57 AM,01:42 AM,06:20 AM,07:19 PM,14,17,17,17,13,23,84,0.1,1019,19,8,39,9,Algeria
2011-04-12,19,13,0.0,10.3,4,63,01:03 PM,02:23 AM,06:18 AM,07:20 PM,13,15,16,15,13,44,84,0.1,1021,19,9,218,10,Algeria
2011-04-13,21,11,0.0,11.6,4,71,02:12 PM,03:02 AM,06:17 AM,07:20 PM,12,17,18,17,15,4,74,0.0,1020,21,10,85,10,Algeria
2011-04-14,25,12,0.0,11.6,5,78,03:22 PM,03:37 AM,06:16 AM,07:21 PM,12,20,20,20,14,1,65,0.0,1012,25,10,90,9,Algeria
2011-04-15,19,10,0.0,11.6,4,86,04:33 PM,04:10 AM,06:14 AM,07:22 PM,11,16,16,16,17,4,76,0.0,1009,19,10,46,11,Algeria
2011-04-16,17,8,0.0,11.6,4,93,05:47 PM,04:44 AM,06:13 AM,07:23 PM,8,13,14,13,22,4,73,0.0,1016,17,10,60,15,Algeria
2011-04-17,19,9,0.0,11.6,4,100,07:01 PM,05:20 AM,06:12 AM,07:24 PM,8,13,14,13,27,10,71,0.0,1017,19,10,75,17,Algeria
2011-04-18,22,11,0.0,11.6,5,100,08:15 PM,05:59 AM,06:10 AM,07:25 PM,12,17,18,17,22,9,72,0.3,1015,22,10,86,13,Algeria
2011-04-19,20,13,0.0,11.6,5,84,09:28 PM,06:43 AM,06:09 AM,07:26 PM,14,17,17,17,13,32,85,3.0,1012,20,9,208,9,Algeria
2011-04-20,22,11,0.0,11.6,5,77,10:36 PM,07:33 AM,06:08 AM,07:27 PM,14,17,18,17,18,12,81,0.0,1010,22,8,71,11,Algeria
2011-04-21,22,14,0.0,10.4,5,69,11:37 PM,08:28 AM,06:06 AM,07:27 PM,15,18,19,18,23,40,83,6.2,1007,22,9,202,13,Algeria
2011-04-22,21,13,0.0,10.4,5,61,No moonrise,09:28 AM,06:05 AM,07:28 PM,12,16,17,16,17,46,78,1.8,1008,21,10,262,12,Algeria
2011-04-23,19,12,0.0,11.6,5,54,12:28 AM,10:30 AM,06:04 AM,07:29 PM,11,16,16,16,15,15,71,0.0,1010,19,10,180,10,Algeria
2011-04-24,18,13,0.0,7.9,4,46,01:11 AM,11:32 AM,06:03 AM,07:30 PM,13,15,15,15,15,74,87,2.1,1006,18,9,40,10,Algeria
2011-04-25,14,13,0.0,6.6,3,39,01:48 AM,12:32 PM,06:02 AM,07:31 PM,13,13,14,13,24,97,94,18.9,1008,14,7,215,17,Algeria
2011-04-26,17,12,0.0,10.8,4,31,02:20 AM,01:31 PM,06:00 AM,07:32 PM,12,13,14,13,20,68,88,4.1,1013,17,10,287,14,Algeria
2011-04-27,19,10,0.0,13.7,5,24,02:49 AM,02:27 PM,05:59 AM,07:33 PM,12,16,16,16,15,12,80,0.4,1014,19,10,147,9,Algeria
2011-04-28,23,13,0.0,13.8,5,16,03:15 AM,03:23 PM,05:58 AM,07:34 PM,13,18,19,18,16,7,73,0.0,1010,23,10,105,9,Algeria
2011-04-29,23,15,0.0,11.0,4,9,03:41 AM,04:18 PM,05:57 AM,07:35 PM,15,18,18,18,22,55,82,9.3,1000,23,9,111,13,Algeria
2011-04-30,16,11,0.0,11.0,3,1,04:07 AM,05:15 PM,05:56 AM,07:35 PM,12,13,14,13,28,63,89,5.5,1001,16,9,256,18,Algeria
2011-05-01,22,11,0.0,13.8,5,1,04:35 AM,06:11 PM,05:55 AM,07:36 PM,12,17,17,17,18,25,74,0.8,1004,22,10,131,10,Algeria
2011-05-02,18,14,0.0,13.8,5,0,05:05 AM,07:09 PM,05:54 AM,07:37 PM,10,16,16,16,34,38,68,0.4,1000,18,10,220,23,Algeria
2011-05-03,19,12,0.0,12.2,5,0,05:39 AM,08:07 PM,05:52 AM,07:38 PM,13,15,15,15,24,46,84,2.5,1012,19,10,265,17,Algeria
2011-05-04,21,13,0.0,13.9,5,6,06:17 AM,09:05 PM,05:51 AM,07:39 PM,13,17,18,17,17,9,78,0.0,1017,21,10,225,10,Algeria
2011-05-05,22,12,0.0,13.9,5,13,07:02 AM,10:01 PM,05:50 AM,07:40 PM,14,19,20,19,15,6,73,0.1,1017,22,10,94,10,Algeria
2011-05-06,28,17,0.0,13.9,6,21,07:53 AM,10:53 PM,05:49 AM,07:41 PM,14,22,23,22,23,10,61,0.8,1016,28,10,137,13,Algeria
2011-05-07,27,16,0.0,13.3,6,28,08:49 AM,11:40 PM,05:48 AM,07:42 PM,11,21,21,21,31,28,58,2.4,1016,27,10,187,17,Algeria
2011-05-08,21,12,0.0,14.0,5,35,09:50 AM,No moonset,05:47 AM,07:42 PM,14,19,20,19,13,3,75,0.0,1019,21,10,282,9,Algeria
2011-05-09,20,11,0.0,14.0,5,42,10:54 AM,12:22 AM,05:46 AM,07:43 PM,14,19,20,19,11,0,76,0.0,1020,20,10,78,9,Algeria
2011-05-10,22,13,0.0,14.0,5,50,12:01 PM,01:01 AM,05:45 AM,07:44 PM,14,18,20,18,22,0,77,0.0,1022,22,10,70,14,Algeria
2011-05-11,22,12,0.0,14.0,5,57,01:08 PM,01:36 AM,05:44 AM,07:45 PM,12,19,19,19,21,1,67,0.0,1020,22,10,79,14,Algeria
2011-05-12,23,15,0.0,14.0,5,64,02:16 PM,02:09 AM,05:44 AM,07:46 PM,12,19,20,19,18,24,66,0.0,1017,23,10,78,11,Algeria
2011-05-13,24,14,0.0,14.0,5,71,03:26 PM,02:41 AM,05:43 AM,07:47 PM,14,20,21,20,10,9,71,0.5,1016,24,10,63,7,Algeria
2011-05-14,24,16,0.0,14.1,5,79,04:37 PM,03:15 AM,05:42 AM,07:47 PM,13,20,21,20,11,25,67,0.2,1016,24,10,159,7,Algeria
2011-05-15,20,14,0.0,13.4,5,86,05:50 PM,03:51 AM,05:41 AM,07:48 PM,14,17,17,17,22,27,83,0.0,1020,20,10,78,17,Algeria
2011-05-16,20,12,0.0,14.1,5,93,07:03 PM,04:31 AM,05:40 AM,07:49 PM,10,15,16,15,31,11,67,0.0,1024,20,10,73,21,Algeria
2011-05-17,21,14,0.0,14.1,5,100,08:14 PM,05:18 AM,05:39 AM,07:50 PM,11,18,18,18,18,31,66,0.0,1021,21,10,78,12,Algeria
2011-05-18,23,16,0.0,13.4,5,100,09:19 PM,06:11 AM,05:39 AM,07:51 PM,14,20,20,20,21,42,73,0.0,1014,23,10,83,13,Algeria
2011-05-19,21,15,0.0,12.2,5,85,10:15 PM,07:10 AM,05:38 AM,07:52 PM,16,19,20,19,8,48,84,0.0,1013,21,9,160,6,Algeria
2011-05-20,19,16,0.0,8.8,4,78,11:04 PM,08:12 AM,05:37 AM,07:52 PM,16,18,18,18,13,82,90,8.8,1013,19,7,111,9,Algeria
2011-05-21,16,15,0.0,8.9,4,70,11:45 PM,09:17 AM,05:37 AM,07:53 PM,14,15,16,15,18,94,92,8.2,1014,16,10,62,13,Algeria
2011-05-22,18,13,0.0,11.1,4,63,No moonrise,10:19 AM,05:36 AM,07:54 PM,14,16,16,16,18,64,87,4.7,1019,18,10,164,13,Algeria
2011-05-23,21,12,0.0,14.2,5,56,12:19 AM,11:20 AM,05:35 AM,07:55 PM,14,18,19,18,11,8,79,0.0,1022,21,10,288,8,Algeria
2011-05-24,22,13,0.0,14.2,5,49,12:49 AM,12:18 PM,05:35 AM,07:55 PM,14,19,20,19,7,4,73,0.0,1022,22,10,262,6,Algeria
2011-05-25,24,14,0.0,14.2,5,41,01:17 AM,01:15 PM,05:34 AM,07:56 PM,15,21,22,21,9,2,69,0.0,1021,24,10,162,6,Algeria
2011-05-26,27,16,0.0,14.2,6,34,01:44 AM,02:10 PM,05:33 AM,07:57 PM,14,24,25,24,12,11,54,0.0,1019,27,10,120,7,Algeria
2011-05-27,25,16,0.0,14.3,6,27,02:09 AM,03:07 PM,05:33 AM,07:58 PM,14,21,22,21,12,27,65,0.0,1017,25,10,226,8,Algeria
2011-05-28,25,17,0.0,14.3,6,19,02:36 AM,04:03 PM,05:32 AM,07:58 PM,16,22,23,22,12,15,70,0.0,1016,25,10,190,8,Algeria
2011-05-29,22,16,0.0,12.3,5,12,03:06 AM,05:00 PM,05:32 AM,07:59 PM,14,19,20,19,17,59,73,1.6,1015,22,10,220,12,Algeria
2011-05-30,23,16,0.0,12.4,5,5,03:38 AM,05:59 PM,05:32 AM,08:00 PM,14,20,21,20,13,57,69,1.1,1016,23,10,198,9,Algeria
2011-05-31,24,17,0.0,14.5,6,1,04:15 AM,06:57 PM,05:31 AM,08:00 PM,17,21,21,21,17,21,82,0.5,1016,24,9,234,13,Algeria
2011-06-01,20,15,0.0,12.4,5,0,04:58 AM,07:54 PM,05:31 AM,08:01 PM,15,18,18,18,25,48,82,1.4,1018,20,10,54,19,Algeria
2011-06-02,19,14,0.0,14.5,5,2,05:47 AM,08:48 PM,05:30 AM,08:02 PM,12,17,17,17,20,32,77,0.1,1018,19,10,50,15,Algeria
2011-06-03,20,12,0.0,14.5,5,10,06:42 AM,09:38 PM,05:30 AM,08:02 PM,13,17,17,17,13,14,77,0.4,1016,20,10,85,10,Algeria
2011-06-04,21,13,0.0,14.5,5,17,07:43 AM,10:22 PM,05:30 AM,08:03 PM,14,18,18,18,8,24,78,0.8,1013,21,10,281,7,Algeria
2011-06-05,21,14,0.0,14.5,5,25,08:47 AM,11:02 PM,05:30 AM,08:03 PM,14,19,19,19,7,25,76,0.4,1010,21,9,145,6,Algeria
2011-06-06,20,16,0.0,12.4,5,32,09:54 AM,11:38 PM,05:29 AM,08:04 PM,16,18,18,18,8,51,87,2.2,1008,20,10,92,6,Algeria
2011-06-07,22,16,0.0,14.5,4,40,11:00 AM,No moonset,05:29 AM,08:04 PM,15,20,21,20,15,17,73,3.3,1009,22,9,257,10,Algeria
2011-06-08,22,16,0.0,14.5,4,48,12:07 PM,12:11 AM,05:29 AM,08:05 PM,13,19,20,19,29,20,70,1.1,1013,22,9,251,21,Algeria
2011-06-09,24,15,0.0,14.5,5,55,01:15 PM,12:43 AM,05:29 AM,08:06 PM,14,21,22,21,11,4,66,0.0,1017,24,10,137,9,Algeria
2011-06-10,23,17,0.0,14.5,5,63,02:23 PM,01:15 AM,05:29 AM,08:06 PM,16,21,22,21,8,16,73,0.0,1017,23,10,113,6,Algeria
2011-06-11,23,16,0.0,14.5,5,70,03:34 PM,01:49 AM,05:29 AM,08:06 PM,15,22,22,22,9,6,67,0.0,1019,23,10,259,7,Algeria
2011-06-12,26,16,0.0,14.5,6,78,04:44 PM,02:26 AM,05:29 AM,08:07 PM,14,24,24,24,13,5,58,0.0,1019,26,10,72,9,Algeria
