date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2011-01-01,31,24,0.0,13.4,7,15,02:07 AM,04:15 PM,05:01 AM,06:45 PM,23,30,30,27,15,38,80,1.2,1014,31,10,92,11,Mozambique
2011-01-02,32,24,0.0,13.3,7,7,03:01 AM,05:13 PM,05:02 AM,06:45 PM,23,31,31,28,17,33,77,0.6,1012,32,10,83,11,Mozambique
2011-01-03,30,23,0.0,12.1,7,0,03:57 AM,06:05 PM,05:02 AM,06:45 PM,23,30,30,27,16,61,84,1.7,1015,30,8,106,11,Mozambique
2011-01-04,27,22,0.0,10.8,5,0,04:55 AM,06:52 PM,05:03 AM,06:46 PM,22,27,27,25,21,64,83,0.6,1017,27,9,175,15,Mozambique
2011-01-05,27,22,0.0,8.4,5,0,05:53 AM,07:34 PM,05:04 AM,06:46 PM,21,27,27,24,25,84,85,8.9,1014,27,10,174,17,Mozambique
2011-01-06,26,21,0.0,13.4,6,7,06:49 AM,08:11 PM,05:05 AM,06:46 PM,20,25,25,23,28,60,85,8.5,1012,26,9,176,19,Mozambique
2011-01-07,28,20,0.0,13.4,6,14,07:44 AM,08:45 PM,05:05 AM,06:46 PM,20,25,25,23,28,53,80,2.4,1010,28,10,188,19,Mozambique
2011-01-08,30,21,0.0,13.4,6,21,08:36 AM,09:17 PM,05:06 AM,06:46 PM,21,27,27,25,20,37,79,1.1,1007,30,10,176,14,Mozambique
2011-01-09,31,21,0.0,13.4,7,29,09:27 AM,09:48 PM,05:07 AM,06:46 PM,22,29,29,26,11,25,79,0.5,1007,31,8,146,8,Mozambique
2011-01-10,30,23,0.0,13.4,7,36,10:17 AM,10:18 PM,05:08 AM,06:46 PM,22,29,29,26,18,41,81,3.9,1009,30,9,172,12,Mozambique
2011-01-11,29,22,0.0,12.0,6,43,11:08 AM,10:50 PM,05:08 AM,06:46 PM,21,27,27,25,32,63,78,0.2,1014,29,10,178,23,Mozambique
2011-01-12,28,23,0.0,12.0,6,51,12:00 PM,11:24 PM,05:09 AM,06:46 PM,21,27,27,25,29,67,77,0.6,1015,28,10,175,21,Mozambique
2011-01-13,29,22,0.0,10.8,6,58,12:54 PM,No moonset,05:10 AM,06:46 PM,22,28,28,25,20,62,82,7.7,1011,29,10,160,14,Mozambique
2011-01-14,31,23,0.0,13.4,7,65,01:49 PM,12:01 AM,05:11 AM,06:46 PM,23,30,30,27,16,36,80,1.3,1008,31,10,155,11,Mozambique
2011-01-15,27,23,0.0,9.6,5,72,02:46 PM,12:44 AM,05:11 AM,06:46 PM,23,28,28,25,26,76,90,16.0,1012,27,9,185,17,Mozambique
2011-01-16,31,22,0.0,13.3,7,80,03:45 PM,01:32 AM,05:12 AM,06:46 PM,23,29,29,26,16,37,82,0.0,1012,31,9,136,11,Mozambique
2011-01-17,28,23,0.0,8.3,6,87,04:41 PM,02:26 AM,05:13 AM,06:46 PM,22,28,28,25,25,81,84,2.2,1012,28,8,191,17,Mozambique
2011-01-18,30,23,0.0,13.3,7,94,05:36 PM,03:27 AM,05:14 AM,06:46 PM,22,29,29,26,22,65,79,0.8,1013,30,10,165,15,Mozambique
2011-01-19,31,24,0.0,13.3,7,100,06:26 PM,04:31 AM,05:15 AM,06:46 PM,23,30,30,27,15,36,81,0.5,1010,31,9,138,11,Mozambique
2011-01-20,33,23,0.0,13.3,7,100,07:12 PM,05:38 AM,05:15 AM,06:46 PM,24,32,32,28,16,38,80,1.8,1008,33,9,179,10,Mozambique
2011-01-21,29,23,0.0,10.8,6,84,07:54 PM,06:44 AM,05:16 AM,06:45 PM,22,28,28,26,24,54,79,0.3,1011,29,10,170,16,Mozambique
2011-01-22,33,22,0.0,13.3,7,77,08:34 PM,07:50 AM,05:17 AM,06:45 PM,23,31,31,28,13,9,76,0.0,1007,33,10,117,8,Mozambique
2011-01-23,29,23,0.0,10.8,6,69,09:13 PM,08:55 AM,05:18 AM,06:45 PM,23,30,30,26,26,54,85,8.8,1009,29,9,235,16,Mozambique
2011-01-24,29,22,0.0,9.5,6,62,09:53 PM,09:58 AM,05:19 AM,06:45 PM,21,28,28,25,31,67,77,1.6,1011,29,10,184,21,Mozambique
2011-01-25,30,22,0.0,13.3,7,55,10:33 PM,11:02 AM,05:19 AM,06:44 PM,21,28,28,26,24,53,76,0.4,1009,30,10,168,17,Mozambique
2011-01-26,26,23,0.0,10.8,6,48,11:18 PM,12:05 PM,05:20 AM,06:44 PM,21,27,27,24,19,75,83,0.6,1007,26,9,173,13,Mozambique
2011-01-27,29,21,0.0,13.2,7,40,No moonrise,01:08 PM,05:21 AM,06:44 PM,21,28,28,25,20,42,79,0.7,1009,29,9,176,14,Mozambique
2011-01-28,28,21,0.0,13.2,6,33,12:05 AM,02:09 PM,05:22 AM,06:43 PM,19,26,26,24,28,40,75,0.3,1014,28,10,174,19,Mozambique
2011-01-29,28,20,0.0,13.2,6,26,12:56 AM,03:07 PM,05:22 AM,06:43 PM,18,25,25,24,24,24,72,0.1,1015,28,10,173,16,Mozambique
2011-01-30,29,19,0.0,13.2,6,19,01:51 AM,04:00 PM,05:23 AM,06:42 PM,18,25,25,24,17,0,72,0.0,1014,29,10,168,11,Mozambique
2011-01-31,28,20,0.0,13.2,6,15,02:47 AM,04:48 PM,05:24 AM,06:42 PM,20,26,26,24,18,26,77,0.5,1014,28,10,172,12,Mozambique
2011-02-01,30,21,0.0,13.2,6,0,03:45 AM,05:32 PM,05:25 AM,06:41 PM,20,27,27,25,17,19,74,0.2,1015,30,10,163,11,Mozambique
2011-02-02,29,21,0.0,13.2,6,0,04:41 AM,06:10 PM,05:26 AM,06:41 PM,19,26,26,24,18,25,75,0.1,1017,29,10,166,12,Mozambique
2011-02-03,29,21,0.0,13.1,6,0,05:36 AM,06:45 PM,05:26 AM,06:40 PM,20,27,27,24,23,45,76,1.1,1020,29,10,165,16,Mozambique
2011-02-04,27,21,0.0,13.1,6,3,06:28 AM,07:18 PM,05:27 AM,06:40 PM,20,25,25,24,20,50,80,2.0,1021,27,10,163,13,Mozambique
2011-02-05,29,20,0.0,13.1,6,11,07:20 AM,07:49 PM,05:28 AM,06:39 PM,20,26,26,25,15,28,74,0.3,1019,29,10,134,10,Mozambique
2011-02-06,30,19,0.0,13.1,6,18,08:10 AM,08:19 PM,05:28 AM,06:39 PM,20,27,27,25,11,16,76,0.1,1015,30,9,144,7,Mozambique
2011-02-07,30,21,0.0,13.1,7,26,09:01 AM,08:50 PM,05:29 AM,06:38 PM,21,28,28,26,12,24,76,0.2,1014,30,9,136,9,Mozambique
2011-02-08,30,21,0.0,13.1,6,33,09:52 AM,09:23 PM,05:30 AM,06:37 PM,20,28,28,25,14,5,76,0.0,1013,30,10,153,9,Mozambique
2011-02-09,31,21,0.0,13.1,7,41,10:44 AM,09:59 PM,05:31 AM,06:37 PM,21,28,28,25,18,10,77,0.0,1013,31,8,169,12,Mozambique
2011-02-10,29,21,0.0,13.1,6,48,11:38 AM,10:38 PM,05:31 AM,06:36 PM,21,27,27,25,21,45,81,0.4,1014,29,10,166,15,Mozambique
2011-02-11,30,22,0.0,13.0,7,56,12:33 PM,11:22 PM,05:32 AM,06:35 PM,21,28,28,25,16,36,79,0.1,1014,30,8,141,11,Mozambique
2011-02-12,30,22,0.0,13.0,7,64,01:30 PM,No moonset,05:33 AM,06:35 PM,21,28,28,25,14,46,79,0.4,1014,30,9,139,10,Mozambique
2011-02-13,29,22,0.0,13.0,7,71,02:25 PM,12:12 AM,05:33 AM,06:34 PM,20,27,27,25,19,29,74,0.2,1016,29,10,159,13,Mozambique
2011-02-14,29,21,0.0,13.0,6,79,03:20 PM,01:08 AM,05:34 AM,06:33 PM,20,27,27,24,24,57,79,2.3,1016,29,10,174,16,Mozambique
2011-02-15,29,22,0.0,13.0,6,86,04:11 PM,02:09 AM,05:35 AM,06:32 PM,21,27,27,25,23,50,81,2.0,1015,29,10,171,16,Mozambique
2011-02-16,30,21,0.0,13.0,6,94,05:00 PM,03:15 AM,05:35 AM,06:32 PM,20,27,27,25,22,47,79,1.1,1014,30,10,175,15,Mozambique
2011-02-17,29,22,0.0,13.0,6,100,05:44 PM,04:21 AM,05:36 AM,06:31 PM,20,27,27,25,26,43,76,0.9,1013,29,10,177,18,Mozambique
2011-02-18,29,20,0.0,12.9,6,100,06:26 PM,05:29 AM,05:37 AM,06:30 PM,19,26,26,24,19,39,77,0.9,1012,29,10,161,13,Mozambique
2011-02-19,31,19,0.0,12.9,6,84,07:07 PM,06:35 AM,05:37 AM,06:29 PM,20,27,27,25,12,22,74,0.4,1009,31,10,144,8,Mozambique
2011-02-20,28,22,0.0,10.6,6,76,07:48 PM,07:42 AM,05:38 AM,06:28 PM,22,27,27,25,18,62,86,3.9,1012,28,10,179,12,Mozambique
2011-02-21,30,21,0.0,12.9,6,69,08:29 PM,08:47 AM,05:39 AM,06:28 PM,20,26,26,25,22,16,76,0.1,1014,30,10,175,15,Mozambique
2011-02-22,29,20,0.0,12.9,6,61,09:14 PM,09:53 AM,05:39 AM,06:27 PM,20,26,26,24,18,9,76,0.0,1014,29,10,167,12,Mozambique
2011-02-23,28,21,0.0,12.9,6,53,10:02 PM,10:59 AM,05:40 AM,06:26 PM,20,26,26,24,15,21,78,0.2,1015,28,8,155,10,Mozambique
2011-02-24,29,20,0.0,12.8,6,46,10:53 PM,12:02 PM,05:41 AM,06:25 PM,19,25,25,24,20,23,77,0.2,1015,29,9,174,13,Mozambique
2011-02-25,28,20,0.0,12.8,6,38,11:48 PM,01:02 PM,05:41 AM,06:24 PM,20,25,25,24,18,36,79,1.2,1013,28,9,170,13,Mozambique
2011-02-26,28,20,0.0,12.8,6,31,No moonrise,01:57 PM,05:42 AM,06:23 PM,20,25,25,24,23,29,79,1.5,1014,28,10,177,15,Mozambique
2011-02-27,29,21,0.0,10.6,5,23,12:43 AM,02:46 PM,05:42 AM,06:22 PM,20,27,27,25,19,64,75,0.5,1014,29,10,149,13,Mozambique
2011-02-28,29,20,0.0,12.8,6,16,01:40 AM,03:31 PM,05:43 AM,06:21 PM,19,25,25,24,21,11,75,0.0,1015,29,9,178,14,Mozambique
2011-03-01,28,20,0.0,12.8,6,15,02:36 AM,04:10 PM,05:43 AM,06:20 PM,19,25,25,23,25,34,75,0.4,1017,28,10,175,17,Mozambique
2011-03-02,29,19,0.0,12.8,6,8,03:31 AM,04:46 PM,05:44 AM,06:19 PM,19,25,25,24,16,15,76,0.0,1014,29,9,147,10,Mozambique
2011-03-03,28,22,0.0,11.9,6,1,04:23 AM,05:19 PM,05:45 AM,06:18 PM,21,27,27,25,22,59,80,4.7,1015,28,9,163,15,Mozambique
2011-03-04,30,22,0.0,11.9,7,0,05:15 AM,05:51 PM,05:45 AM,06:17 PM,21,28,28,26,19,62,78,2.6,1014,30,9,152,12,Mozambique
2011-03-05,29,22,0.0,11.9,7,0,06:06 AM,06:21 PM,05:46 AM,06:16 PM,21,28,28,25,18,57,79,3.6,1015,29,9,163,12,Mozambique
2011-03-06,29,22,0.0,11.9,7,6,06:56 AM,06:52 PM,05:46 AM,06:15 PM,21,28,28,25,19,59,79,1.1,1016,29,9,155,13,Mozambique
2011-03-07,30,21,0.0,12.7,6,14,07:47 AM,07:25 PM,05:47 AM,06:14 PM,21,27,27,25,15,28,79,0.2,1015,30,9,161,10,Mozambique
2011-03-08,29,21,0.0,12.7,6,21,08:38 AM,07:59 PM,05:47 AM,06:13 PM,21,27,27,25,12,25,79,1.2,1014,29,10,130,8,Mozambique
2011-03-09,31,21,0.0,12.6,7,28,09:32 AM,08:37 PM,05:48 AM,06:12 PM,20,28,28,26,14,5,72,0.0,1014,31,9,177,10,Mozambique
2011-03-10,30,21,0.0,12.6,6,36,10:25 AM,09:19 PM,05:48 AM,06:11 PM,21,28,28,25,14,12,77,0.0,1015,30,9,123,9,Mozambique
