date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2014-01-01,31,20,0.0,11.6,6,0,06:06 AM,06:25 PM,06:20 AM,06:14 PM,20,26,26,24,7,49,79,1.2,1011,31,7,266,4,Cameroon
2014-01-02,30,19,0.0,11.6,5,2,07:08 AM,07:28 PM,06:21 AM,06:15 PM,19,25,25,24,7,35,78,4.0,1010,30,7,191,4,Cameroon
2014-01-03,32,20,0.0,11.6,6,10,08:06 AM,08:27 PM,06:21 AM,06:15 PM,18,26,26,25,7,25,69,0.8,1010,32,8,194,5,Cameroon
2014-01-04,32,19,0.0,11.6,6,17,09:02 AM,09:24 PM,06:21 AM,06:16 PM,19,26,26,24,7,36,75,0.1,1011,32,8,288,4,Cameroon
2014-01-05,33,20,0.0,11.6,6,24,09:55 AM,10:17 PM,06:22 AM,06:16 PM,19,26,26,25,7,41,75,0.1,1011,33,7,294,4,Cameroon
2014-01-06,31,20,0.0,11.6,6,31,10:44 AM,11:09 PM,06:22 AM,06:17 PM,18,25,25,24,8,37,75,0.3,1010,31,8,309,5,Cameroon
2014-01-07,31,19,0.0,11.6,6,39,11:33 AM,11:59 PM,06:23 AM,06:17 PM,18,25,25,24,7,42,73,0.1,1010,31,7,300,5,Cameroon
2014-01-08,31,20,0.0,11.6,6,46,12:19 PM,No moonset,06:23 AM,06:18 PM,18,25,25,24,7,42,76,0.6,1011,31,8,298,4,Cameroon
2014-01-09,31,19,0.0,11.6,6,53,01:07 PM,12:48 AM,06:23 AM,06:18 PM,18,25,25,24,7,34,74,1.0,1011,31,8,189,4,Cameroon
2014-01-10,31,20,0.0,11.6,6,61,01:54 PM,01:38 AM,06:24 AM,06:19 PM,18,26,26,24,7,34,72,0.5,1011,31,8,190,4,Cameroon
2014-01-11,32,18,0.0,11.6,6,68,02:41 PM,02:26 AM,06:24 AM,06:19 PM,17,25,25,24,6,34,69,0.7,1012,32,8,170,4,Cameroon
2014-01-12,32,18,0.0,11.6,6,75,03:30 PM,03:15 AM,06:24 AM,06:20 PM,16,26,26,25,7,9,61,0.0,1012,32,9,159,4,Cameroon
2014-01-13,33,20,0.0,11.6,6,82,04:17 PM,04:03 AM,06:25 AM,06:20 PM,19,26,26,25,7,33,73,0.1,1013,33,9,290,4,Cameroon
2014-01-14,31,19,0.0,11.6,6,90,05:06 PM,04:52 AM,06:25 AM,06:20 PM,19,25,25,24,8,47,78,0.0,1012,31,7,280,5,Cameroon
2014-01-15,32,19,0.0,11.6,6,97,05:53 PM,05:39 AM,06:25 AM,06:21 PM,19,26,26,24,7,43,76,1.9,1012,32,6,290,4,Cameroon
2014-01-16,33,19,0.0,11.6,6,100,06:39 PM,06:24 AM,06:26 AM,06:21 PM,19,26,26,25,7,29,72,2.8,1012,33,8,221,4,Cameroon
2014-01-17,33,20,0.0,11.6,5,89,07:25 PM,07:09 AM,06:26 AM,06:22 PM,20,27,27,25,6,32,77,7.5,1012,33,7,283,4,Cameroon
2014-01-18,31,21,0.0,11.6,5,81,08:10 PM,07:52 AM,06:26 AM,06:22 PM,20,26,26,25,9,38,79,4.9,1012,31,7,277,6,Cameroon
2014-01-19,33,21,0.0,11.6,6,74,08:54 PM,08:34 AM,06:27 AM,06:22 PM,19,27,27,25,6,33,73,0.1,1012,33,8,246,4,Cameroon
2014-01-20,32,21,0.0,11.6,7,67,09:39 PM,09:17 AM,06:27 AM,06:23 PM,20,28,28,25,8,37,75,0.9,1012,32,7,269,5,Cameroon
2014-01-21,33,20,0.0,11.6,6,59,10:23 PM,09:59 AM,06:27 AM,06:23 PM,19,26,26,25,7,38,73,0.2,1011,33,8,295,4,Cameroon
2014-01-22,33,21,0.0,11.6,7,52,11:10 PM,10:42 AM,06:27 AM,06:23 PM,20,28,28,26,7,37,73,0.4,1010,33,9,282,5,Cameroon
2014-01-23,32,21,0.0,11.6,6,45,11:59 PM,11:27 AM,06:27 AM,06:24 PM,20,27,27,25,8,41,76,0.6,1010,32,8,266,5,Cameroon
2014-01-24,31,20,0.0,11.6,6,38,No moonrise,12:15 PM,06:28 AM,06:24 PM,19,26,26,25,8,43,76,1.1,1009,31,8,272,5,Cameroon
2014-01-25,32,21,0.0,11.6,6,30,12:50 AM,01:07 PM,06:28 AM,06:24 PM,19,27,27,25,10,39,75,0.0,1010,32,8,265,7,Cameroon
2014-01-26,32,21,0.0,11.6,6,23,01:46 AM,02:03 PM,06:28 AM,06:25 PM,20,27,27,25,9,40,76,0.4,1010,32,8,263,6,Cameroon
2014-01-27,31,20,0.0,11.6,6,16,02:44 AM,03:02 PM,06:28 AM,06:25 PM,20,26,26,25,9,50,78,1.6,1010,31,6,265,6,Cameroon
2014-01-28,34,20,0.0,11.6,6,9,03:45 AM,04:03 PM,06:28 AM,06:25 PM,20,27,27,25,8,47,77,0.5,1009,34,7,261,5,Cameroon
2014-01-29,32,20,0.0,11.6,7,1,04:46 AM,05:06 PM,06:28 AM,06:25 PM,21,28,28,25,6,44,79,3.6,1009,32,7,239,3,Cameroon
2014-01-30,32,20,0.0,11.6,5,0,05:46 AM,06:07 PM,06:28 AM,06:26 PM,21,27,27,25,7,45,81,2.8,1009,32,7,226,4,Cameroon
2014-01-31,31,21,0.0,11.6,6,0,06:44 AM,07:06 PM,06:28 AM,06:26 PM,21,27,27,25,9,50,80,1.2,1010,31,6,262,6,Cameroon
2014-02-01,32,20,0.0,11.6,6,6,07:40 AM,08:03 PM,06:29 AM,06:26 PM,20,26,26,24,10,46,82,2.9,1010,32,5,257,6,Cameroon
2014-02-02,33,20,0.0,11.6,6,14,08:32 AM,08:57 PM,06:29 AM,06:26 PM,21,26,26,24,7,53,83,1.6,1010,33,6,237,4,Cameroon
2014-02-03,33,20,0.0,11.6,6,21,09:24 AM,09:50 PM,06:29 AM,06:26 PM,20,27,27,25,7,51,77,0.7,1009,33,7,274,4,Cameroon
2014-02-04,33,21,0.0,11.6,7,29,10:13 AM,10:41 PM,06:29 AM,06:27 PM,20,27,27,25,7,45,77,1.0,1009,33,8,248,5,Cameroon
2014-02-05,33,21,0.0,11.6,7,36,11:01 AM,11:32 PM,06:29 AM,06:27 PM,19,27,27,26,8,35,72,1.9,1009,33,9,288,5,Cameroon
2014-02-06,33,20,0.0,11.6,6,44,11:50 AM,No moonset,06:29 AM,06:27 PM,19,26,26,25,7,39,72,0.0,1009,33,7,252,5,Cameroon
2014-02-07,32,21,0.0,11.6,6,51,12:38 PM,12:22 AM,06:29 AM,06:27 PM,20,27,27,25,9,40,75,0.4,1011,32,9,264,6,Cameroon
2014-02-08,34,20,0.0,11.6,7,59,01:26 PM,01:11 AM,06:29 AM,06:27 PM,19,27,27,26,7,37,71,0.9,1011,34,8,288,5,Cameroon
2014-02-09,33,20,0.0,11.6,6,66,02:14 PM,02:00 AM,06:29 AM,06:27 PM,19,26,26,25,9,37,72,0.3,1010,33,8,281,6,Cameroon
2014-02-10,33,21,0.0,11.6,6,74,03:02 PM,02:48 AM,06:28 AM,06:27 PM,19,27,27,25,8,38,74,0.8,1010,33,8,272,5,Cameroon
2014-02-11,33,20,0.0,11.6,6,81,03:50 PM,03:36 AM,06:28 AM,06:28 PM,18,26,26,25,7,38,69,2.0,1010,33,8,287,5,Cameroon
2014-02-12,34,21,0.0,11.6,7,89,04:36 PM,04:22 AM,06:28 AM,06:28 PM,19,27,27,26,7,34,70,1.1,1010,34,9,280,5,Cameroon
