date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01,29,27,0.0,13.2,7,72,03:34 PM,02:18 AM,05:34 AM,06:53 PM,22,31,31,28,13,22,72,0.1,1011,29,10,32,10,Mauritius
2015-01-02,29,27,0.0,13.2,7,80,04:28 PM,03:06 AM,05:34 AM,06:54 PM,22,30,30,28,15,18,71,0.0,1011,29,10,67,11,Mauritius
2015-01-03,29,27,0.0,13.2,7,87,05:22 PM,03:56 AM,05:35 AM,06:54 PM,23,31,31,28,20,25,74,0.0,1012,29,10,47,15,Mauritius
2015-01-04,29,27,0.0,13.2,7,94,06:12 PM,04:47 AM,05:36 AM,06:54 PM,23,31,31,28,25,20,76,0.9,1011,29,10,44,19,Mauritius
2015-01-05,29,27,0.0,13.2,7,100,06:59 PM,05:39 AM,05:36 AM,06:54 PM,24,32,32,28,21,22,78,0.0,1010,29,10,34,16,Mauritius
2015-01-06,29,27,0.0,13.2,7,100,07:44 PM,06:30 AM,05:37 AM,06:55 PM,24,32,32,28,17,40,79,0.0,1011,29,10,34,13,Mauritius
2015-01-07,29,28,0.0,13.2,7,84,08:25 PM,07:21 AM,05:38 AM,06:55 PM,24,33,33,29,22,35,78,0.0,1011,29,10,35,16,Mauritius
2015-01-08,28,26,0.0,9.5,6,77,09:04 PM,08:11 AM,05:38 AM,06:55 PM,24,31,31,27,16,69,80,16.2,1010,28,9,110,11,Mauritius
2015-01-09,27,27,0.0,8.2,6,69,09:42 PM,09:00 AM,05:39 AM,06:55 PM,24,30,30,27,26,71,84,11.4,1011,27,9,57,18,Mauritius
2015-01-10,28,27,0.0,13.2,7,62,10:18 PM,09:48 AM,05:39 AM,06:55 PM,23,31,31,27,32,55,80,1.2,1010,28,10,64,24,Mauritius
2015-01-11,28,27,0.0,12.0,6,55,10:55 PM,10:36 AM,05:40 AM,06:55 PM,24,31,31,27,38,64,80,4.0,1010,28,10,72,28,Mauritius
2015-01-12,27,27,0.0,8.2,6,48,11:32 PM,11:25 AM,05:41 AM,06:56 PM,24,30,30,27,58,71,83,10.4,1008,27,9,90,42,Mauritius
2015-01-13,28,27,0.0,10.7,6,40,No moonrise,12:14 PM,05:41 AM,06:56 PM,24,31,31,28,75,64,80,3.4,1003,28,10,111,53,Mauritius
2015-01-14,28,27,0.0,8.2,6,33,12:11 AM,01:05 PM,05:42 AM,06:56 PM,24,31,31,27,68,83,82,5.7,1001,28,10,120,47,Mauritius
2015-01-15,28,27,0.0,8.2,6,26,12:52 AM,01:58 PM,05:43 AM,06:56 PM,24,31,31,27,57,72,81,3.9,1002,28,10,135,39,Mauritius
2015-01-16,28,26,0.0,13.1,7,19,01:38 AM,02:54 PM,05:43 AM,06:56 PM,22,29,29,27,32,51,77,0.9,1004,28,9,162,23,Mauritius
2015-01-17,28,26,0.0,13.1,7,11,02:28 AM,03:51 PM,05:44 AM,06:56 PM,22,30,30,27,12,40,75,0.0,1006,28,10,155,9,Mauritius
2015-01-18,28,26,0.0,13.1,7,4,03:23 AM,04:49 PM,05:45 AM,06:56 PM,23,30,30,27,32,52,80,7.6,1006,28,9,160,22,Mauritius
2015-01-19,29,27,0.0,13.1,7,0,04:21 AM,05:47 PM,05:45 AM,06:56 PM,24,32,32,28,32,19,82,0.5,1007,29,10,324,23,Mauritius
2015-01-20,29,26,0.0,13.1,7,0,05:24 AM,06:42 PM,05:46 AM,06:56 PM,24,31,31,27,30,31,82,0.0,1009,29,10,312,22,Mauritius
2015-01-21,29,26,0.0,9.4,6,3,06:28 AM,07:36 PM,05:47 AM,06:56 PM,23,30,30,27,12,63,80,3.9,1011,29,10,262,8,Mauritius
2015-01-22,28,26,0.0,13.1,7,10,07:32 AM,08:26 PM,05:47 AM,06:55 PM,23,30,30,27,13,38,79,7.8,1011,28,9,194,9,Mauritius
2015-01-23,28,26,0.0,13.1,7,18,08:35 AM,09:14 PM,05:48 AM,06:55 PM,23,30,30,27,26,41,80,11.1,1009,28,9,113,17,Mauritius
2015-01-24,28,26,0.0,13.1,7,25,09:37 AM,10:00 PM,05:49 AM,06:55 PM,23,31,31,27,38,36,80,0.3,1010,28,10,82,27,Mauritius
2015-01-25,28,26,0.0,13.1,7,32,10:37 AM,10:46 PM,05:49 AM,06:55 PM,22,30,30,27,43,42,76,0.1,1013,28,10,97,31,Mauritius
2015-01-26,28,26,0.0,13.1,7,39,11:36 AM,11:31 PM,05:50 AM,06:55 PM,22,29,29,27,40,45,76,0.0,1015,28,10,112,29,Mauritius
2015-01-27,28,25,0.0,13.0,7,47,12:33 PM,No moonset,05:51 AM,06:55 PM,22,29,29,26,40,41,76,0.0,1013,28,10,118,29,Mauritius
2015-01-28,28,25,0.0,13.0,7,54,01:30 PM,12:17 AM,05:51 AM,06:54 PM,21,28,28,26,31,29,74,0.0,1011,28,10,116,23,Mauritius
2015-01-29,28,25,0.0,13.0,7,61,02:24 PM,01:05 AM,05:52 AM,06:54 PM,21,28,28,26,25,28,74,0.1,1010,28,10,121,18,Mauritius
2015-01-30,27,25,0.0,13.0,7,69,03:17 PM,01:53 AM,05:53 AM,06:54 PM,20,28,28,26,19,38,70,0.0,1010,27,10,130,14,Mauritius
2015-01-31,28,25,0.0,13.0,7,72,04:08 PM,02:43 AM,05:53 AM,06:53 PM,20,28,28,26,20,27,72,0.0,1013,28,10,118,14,Mauritius
2015-02-01,28,25,0.0,13.0,7,86,04:56 PM,03:34 AM,05:54 AM,06:53 PM,21,28,28,26,28,18,72,1.2,1013,28,10,108,20,Mauritius
2015-02-02,27,25,0.0,13.0,7,94,05:41 PM,04:25 AM,05:54 AM,06:53 PM,21,28,28,26,23,45,75,1.4,1013,27,10,98,17,Mauritius
2015-02-03,28,25,0.0,13.0,7,100,06:23 PM,05:16 AM,05:55 AM,06:52 PM,21,28,28,26,23,28,74,0.8,1014,28,10,87,17,Mauritius
2015-02-04,27,25,0.0,13.0,7,100,07:03 PM,06:06 AM,05:55 AM,06:52 PM,21,28,28,26,30,42,76,0.0,1015,27,10,78,22,Mauritius
2015-02-05,27,25,0.0,13.0,7,84,07:42 PM,06:55 AM,05:56 AM,06:52 PM,21,28,28,26,30,33,75,0.0,1014,27,10,74,22,Mauritius
2015-02-06,27,25,0.0,12.9,7,76,08:18 PM,07:44 AM,05:57 AM,06:51 PM,22,29,29,26,34,51,78,0.0,1014,27,10,66,25,Mauritius
2015-02-07,28,25,0.0,12.9,7,69,08:55 PM,08:31 AM,05:57 AM,06:51 PM,22,29,29,26,41,52,79,0.2,1015,28,10,88,30,Mauritius
2015-02-08,28,26,0.0,12.9,7,61,09:32 PM,09:20 AM,05:58 AM,06:50 PM,22,29,29,26,40,46,77,0.1,1014,28,10,87,29,Mauritius
2015-02-09,28,26,0.0,9.4,6,53,10:09 PM,10:08 AM,05:58 AM,06:50 PM,23,29,29,26,38,64,80,0.8,1015,28,10,93,27,Mauritius
2015-02-10,28,26,0.0,12.9,7,46,10:49 PM,10:58 AM,05:59 AM,06:49 PM,22,29,29,27,38,46,77,0.0,1016,28,10,103,28,Mauritius
2015-02-11,28,25,0.0,12.9,7,38,11:32 PM,11:49 AM,05:59 AM,06:49 PM,21,29,29,26,34,38,75,0.2,1015,28,10,111,25,Mauritius
2015-02-12,28,25,0.0,12.5,7,31,No moonrise,12:41 PM,06:00 AM,06:48 PM,21,28,28,26,36,36,75,0.0,1013,28,10,113,26,Mauritius
2015-02-13,28,25,0.0,12.5,7,23,12:17 AM,01:36 PM,06:00 AM,06:48 PM,22,29,29,26,24,16,75,0.7,1011,28,10,139,17,Mauritius
2015-02-14,28,25,0.0,11.6,7,16,01:08 AM,02:32 PM,06:01 AM,06:47 PM,22,29,29,26,15,34,78,2.1,1010,28,10,150,11,Mauritius
2015-02-15,27,24,0.0,11.6,7,8,02:03 AM,03:29 PM,06:01 AM,06:47 PM,22,29,29,26,6,28,78,2.2,1012,27,10,179,4,Mauritius
2015-02-16,28,25,0.0,11.6,7,1,03:03 AM,04:24 PM,06:02 AM,06:46 PM,22,29,29,27,6,26,76,0.3,1014,28,10,187,4,Mauritius
2015-02-17,28,25,0.0,8.9,7,0,04:05 AM,05:19 PM,06:02 AM,06:45 PM,22,30,30,27,9,55,77,0.0,1013,28,10,83,6,Mauritius
2015-02-18,29,26,0.0,11.6,7,0,05:09 AM,06:11 PM,06:03 AM,06:45 PM,23,31,31,27,7,30,77,0.0,1012,29,10,172,6,Mauritius
2015-02-19,28,25,0.0,11.6,7,0,06:13 AM,07:01 PM,06:03 AM,06:44 PM,22,30,30,27,11,36,76,0.2,1011,28,10,296,8,Mauritius
2015-02-20,28,26,0.0,11.6,7,7,07:18 AM,07:50 PM,06:04 AM,06:43 PM,22,30,30,27,20,61,76,3.8,1010,28,10,250,14,Mauritius
2015-02-21,29,26,0.0,11.6,7,14,08:21 AM,08:37 PM,06:04 AM,06:43 PM,23,31,31,27,13,23,76,3.6,1012,29,10,68,9,Mauritius
2015-02-22,29,27,0.0,11.6,6,22,09:23 AM,09:25 PM,06:04 AM,06:42 PM,24,31,31,27,18,27,80,0.8,1014,29,10,69,13,Mauritius
2015-02-23,29,26,0.0,11.6,6,29,10:23 AM,10:13 PM,06:05 AM,06:41 PM,23,31,31,27,24,31,79,2.5,1014,29,10,103,17,Mauritius
2015-02-24,29,26,0.0,11.6,7,37,11:22 AM,11:01 PM,06:05 AM,06:41 PM,23,30,30,27,24,38,76,0.1,1012,29,10,115,17,Mauritius
2015-02-25,28,26,0.0,11.6,7,44,12:19 PM,11:51 PM,06:06 AM,06:40 PM,23,30,30,27,26,40,78,3.2,1009,28,10,127,18,Mauritius
2015-02-26,29,26,0.0,11.6,7,52,01:13 PM,No moonset,06:06 AM,06:39 PM,23,30,30,27,25,45,79,2.1,1007,29,10,140,18,Mauritius
2015-02-27,28,26,0.0,10.2,7,60,02:05 PM,12:40 AM,06:07 AM,06:38 PM,23,30,30,27,24,28,79,6.6,1007,28,10,172,16,Mauritius
2015-02-28,28,25,0.0,10.2,7,67,02:53 PM,01:31 AM,06:07 AM,06:38 PM,22,29,29,26,20,36,77,0.7,1008,28,10,167,14,Mauritius
2015-03-01,28,25,0.0,11.6,7,72,03:40 PM,02:21 AM,06:07 AM,06:37 PM,21,29,29,26,10,39,73,0.1,1009,28,10,95,7,Mauritius
2015-03-02,29,25,0.0,11.6,7,79,04:22 PM,03:12 AM,06:08 AM,06:36 PM,22,30,30,27,21,17,76,0.0,1011,29,10,68,15,Mauritius
2015-03-03,29,26,0.0,11.6,7,86,05:03 PM,04:02 AM,06:08 AM,06:35 PM,24,32,32,28,18,27,79,0.6,1011,29,10,46,13,Mauritius
2015-03-04,29,27,0.0,10.2,6,94,05:42 PM,04:51 AM,06:08 AM,06:35 PM,24,31,31,28,28,33,79,7.2,1012,29,9,86,19,Mauritius
2015-03-05,29,27,0.0,11.6,7,100,06:19 PM,05:40 AM,06:09 AM,06:34 PM,24,31,31,28,34,40,78,0.8,1013,29,10,97,24,Mauritius
2015-03-06,29,26,0.0,7.5,7,100,06:55 PM,06:28 AM,06:09 AM,06:33 PM,23,31,31,27,37,57,80,0.4,1014,29,10,108,27,Mauritius
2015-03-07,28,26,0.0,7.5,6,84,07:32 PM,07:16 AM,06:09 AM,06:32 PM,23,30,30,27,36,64,81,0.0,1012,28,10,90,27,Mauritius
2015-03-08,27,26,0.0,7.5,6,77,08:09 PM,08:05 AM,06:10 AM,06:31 PM,23,29,29,26,27,78,83,2.5,1011,27,10,61,19,Mauritius
2015-03-09,27,26,0.0,6.1,6,70,08:48 PM,08:54 AM,06:10 AM,06:30 PM,23,30,30,26,35,78,83,4.4,1010,27,10,345,23,Mauritius
2015-03-10,27,27,0.0,11.6,6,63,09:30 PM,09:44 AM,06:10 AM,06:30 PM,23,30,30,27,50,35,79,32.9,1010,27,8,255,28,Mauritius
2015-03-11,28,26,0.0,8.8,6,55,10:14 PM,10:35 AM,06:11 AM,06:29 PM,22,30,30,27,28,58,75,0.1,1012,28,10,105,20,Mauritius
2015-03-12,28,26,0.0,8.8,6,48,11:01 PM,11:29 AM,06:11 AM,06:28 PM,22,30,30,27,30,61,77,1.8,1012,28,10,117,22,Mauritius
2015-03-13,28,26,0.0,8.8,6,41,11:53 PM,12:22 PM,06:11 AM,06:27 PM,22,30,30,27,28,58,77,1.4,1013,28,10,106,20,Mauritius
2015-03-14,28,26,0.0,10.2,6,34,No moonrise,01:17 PM,06:12 AM,06:26 PM,23,30,30,27,27,59,78,1.2,1013,28,10,89,20,Mauritius
2015-03-15,28,26,0.0,8.8,6,26,12:48 AM,02:10 PM,06:12 AM,06:25 PM,23,30,30,27,27,59,78,1.4,1013,28,10,96,19,Mauritius
2015-03-16,28,26,0.0,8.8,6,19,01:47 AM,03:04 PM,06:12 AM,06:25 PM,23,30,30,27,26,59,78,1.0,1013,28,10,94,19,Mauritius
2015-03-17,28,26,0.0,8.8,7,12,02:48 AM,03:56 PM,06:13 AM,06:24 PM,23,30,30,27,26,59,78,2.0,1012,28,10,96,18,Mauritius
2015-03-18,28,26,0.0,8.8,6,4,03:51 AM,04:46 PM,06:13 AM,06:23 PM,23,30,30,27,25,60,80,2.5,1012,28,10,119,18,Mauritius
2015-03-19,28,26,0.0,11.6,7,0,04:54 AM,05:36 PM,06:13 AM,06:22 PM,22,29,29,27,25,30,78,0.0,1014,28,10,114,17,Mauritius
2015-03-20,28,25,0.0,11.6,7,0,05:58 AM,06:24 PM,06:13 AM,06:21 PM,22,29,29,26,24,34,75,0.0,1016,28,10,116,17,Mauritius
2015-03-21,28,26,0.0,11.6,7,3,07:02 AM,07:12 PM,06:14 AM,06:20 PM,23,30,30,27,30,43,80,0.0,1015,28,10,104,21,Mauritius
2015-03-22,28,26,0.0,11.6,7,10,08:04 AM,08:01 PM,06:14 AM,06:19 PM,23,30,30,27,32,42,81,2.1,1017,28,10,88,23,Mauritius
