date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01,26,19,0.0,13.0,6,72,03:04 PM,02:03 AM,05:20 AM,06:16 PM,19,22,23,22,10,53,85,3.6,1010,26,8,219,7,Malawi
2015-01-02,27,19,0.0,13.0,6,80,03:58 PM,02:53 AM,05:21 AM,06:17 PM,19,24,24,23,9,33,82,8.1,1010,27,9,255,6,Malawi
2015-01-03,26,19,0.0,13.0,6,87,04:50 PM,03:44 AM,05:21 AM,06:17 PM,19,22,23,22,10,46,86,3.4,1010,26,7,90,6,Malawi
2015-01-04,25,18,0.0,13.0,6,94,05:41 PM,04:34 AM,05:22 AM,06:17 PM,19,22,23,22,12,51,86,6.9,1009,25,9,282,8,Malawi
2015-01-05,22,18,0.0,9.4,5,100,06:28 PM,05:26 AM,05:23 AM,06:18 PM,19,20,21,20,10,85,93,0.0,1009,22,5,284,7,Malawi
2015-01-06,24,17,0.0,11.9,5,100,07:14 PM,06:16 AM,05:23 AM,06:18 PM,19,20,21,20,6,68,92,1.8,1010,24,5,251,4,Malawi
2015-01-07,23,18,0.0,8.1,5,84,07:57 PM,07:06 AM,05:24 AM,06:18 PM,19,21,22,21,9,87,92,0.0,1012,23,5,275,6,Malawi
2015-01-08,24,18,0.0,8.1,5,77,08:37 PM,07:54 AM,05:24 AM,06:18 PM,19,21,22,21,10,91,90,0.0,1012,24,5,232,7,Malawi
2015-01-09,20,18,0.0,8.1,4,69,09:17 PM,08:41 AM,05:25 AM,06:19 PM,19,19,19,19,7,92,96,4.2,1013,20,4,229,5,Malawi
2015-01-10,27,17,0.0,12.9,6,62,09:55 PM,09:28 AM,05:26 AM,06:19 PM,17,21,22,21,11,50,81,1.6,1012,27,7,180,7,Malawi
2015-01-11,24,15,0.0,12.9,5,55,10:33 PM,10:14 AM,05:26 AM,06:19 PM,16,19,19,19,11,51,86,0.0,1011,24,7,192,7,Malawi
2015-01-12,20,18,0.0,8.1,4,48,11:12 PM,11:00 AM,05:27 AM,06:19 PM,18,18,18,18,13,92,96,1.3,1012,20,4,264,9,Malawi
2015-01-13,24,17,0.0,12.9,6,40,11:53 PM,11:48 AM,05:27 AM,06:19 PM,18,20,21,20,11,55,88,0.0,1010,24,7,281,7,Malawi
2015-01-14,26,19,0.0,12.9,5,33,No moonrise,12:37 PM,05:28 AM,06:20 PM,20,22,23,22,11,48,87,1.9,1009,26,8,252,7,Malawi
2015-01-15,26,18,0.0,11.9,5,26,12:36 AM,01:30 PM,05:28 AM,06:20 PM,19,21,22,21,8,56,89,5.8,1010,26,7,256,5,Malawi
2015-01-16,26,16,0.0,12.9,6,19,01:24 AM,02:23 PM,05:29 AM,06:20 PM,19,21,22,21,11,32,86,5.0,1008,26,6,265,6,Malawi
2015-01-17,26,18,0.0,12.9,6,11,02:15 AM,03:21 PM,05:30 AM,06:20 PM,19,21,22,21,15,53,87,6.4,1009,26,8,267,10,Malawi
2015-01-18,22,18,0.0,8.1,4,4,03:11 AM,04:18 PM,05:30 AM,06:20 PM,19,20,20,20,9,81,95,4.5,1012,22,6,239,5,Malawi
2015-01-19,26,16,0.0,11.9,5,0,04:10 AM,05:17 PM,05:31 AM,06:20 PM,18,20,21,20,9,66,87,2.8,1013,26,6,182,5,Malawi
2015-01-20,25,16,0.0,12.9,6,0,05:11 AM,06:13 PM,05:31 AM,06:20 PM,17,20,21,20,9,45,85,1.6,1013,25,9,119,5,Malawi
2015-01-21,26,14,0.0,12.9,5,3,06:14 AM,07:08 PM,05:32 AM,06:20 PM,17,20,20,20,9,44,84,1.2,1016,26,7,112,6,Malawi
2015-01-22,25,15,0.0,12.9,5,10,07:16 AM,08:00 PM,05:32 AM,06:20 PM,17,20,21,20,10,53,85,0.4,1016,25,8,115,6,Malawi
2015-01-23,25,15,0.0,12.9,5,18,08:16 AM,08:51 PM,05:33 AM,06:20 PM,16,20,20,20,9,55,84,2.1,1014,25,7,110,6,Malawi
2015-01-24,26,16,0.0,12.9,4,25,09:16 AM,09:39 PM,05:33 AM,06:20 PM,17,19,20,19,7,51,86,2.4,1012,26,9,68,4,Malawi
2015-01-25,26,16,0.0,12.9,6,32,10:13 AM,10:27 PM,05:34 AM,06:20 PM,17,20,21,20,10,33,81,0.0,1012,26,7,60,7,Malawi
2015-01-26,26,16,0.0,12.9,6,39,11:10 AM,11:14 PM,05:34 AM,06:20 PM,17,21,22,21,8,33,82,0.7,1013,26,8,59,5,Malawi
2015-01-27,28,15,0.0,12.9,6,47,12:06 PM,No moonset,05:35 AM,06:20 PM,18,21,22,21,8,37,81,0.0,1012,28,9,57,5,Malawi
2015-01-28,26,18,0.0,12.9,6,54,01:00 PM,12:02 AM,05:35 AM,06:20 PM,18,21,22,21,5,47,86,0.2,1010,26,7,74,3,Malawi
2015-01-29,25,17,0.0,12.8,6,61,01:54 PM,12:51 AM,05:36 AM,06:20 PM,18,21,21,21,8,48,85,0.0,1010,25,6,95,5,Malawi
2015-01-30,24,18,0.0,9.3,6,69,02:46 PM,01:41 AM,05:36 AM,06:20 PM,19,20,22,20,10,87,92,1.0,1011,24,5,175,6,Malawi
2015-01-31,23,17,0.0,9.3,5,72,03:37 PM,02:31 AM,05:37 AM,06:20 PM,19,20,21,20,12,85,92,0.0,1012,23,5,280,8,Malawi
2015-02-01,21,18,0.0,8.0,4,86,04:25 PM,03:21 AM,05:37 AM,06:19 PM,18,20,20,20,19,96,94,3.7,1011,21,5,275,12,Malawi
2015-02-02,22,17,0.0,11.9,5,94,05:11 PM,04:11 AM,05:38 AM,06:19 PM,18,20,21,20,13,60,92,0.5,1010,22,6,297,8,Malawi
2015-02-03,24,17,0.0,12.8,5,100,05:54 PM,05:01 AM,05:38 AM,06:19 PM,19,20,22,20,11,43,89,4.6,1010,24,6,307,7,Malawi
2015-02-04,26,17,0.0,12.8,6,100,06:36 PM,05:50 AM,05:39 AM,06:19 PM,19,21,22,21,13,43,87,1.6,1010,26,6,249,8,Malawi
2015-02-05,26,18,0.0,12.8,6,84,07:16 PM,06:37 AM,05:39 AM,06:18 PM,19,21,22,21,13,51,87,0.0,1009,26,7,301,8,Malawi
2015-02-06,28,17,0.0,12.8,6,76,07:54 PM,07:24 AM,05:39 AM,06:18 PM,19,22,23,22,7,51,85,4.6,1009,28,7,193,4,Malawi
2015-02-07,28,17,0.0,12.8,6,69,08:32 PM,08:10 AM,05:40 AM,06:18 PM,19,22,23,22,5,42,83,4.7,1011,28,6,153,3,Malawi
2015-02-08,26,16,0.0,12.8,6,61,09:11 PM,08:56 AM,05:40 AM,06:18 PM,17,21,22,21,10,21,82,0.7,1012,26,9,80,6,Malawi
2015-02-09,24,16,0.0,12.8,4,53,09:51 PM,09:43 AM,05:41 AM,06:17 PM,17,20,20,20,8,51,86,0.9,1013,24,8,73,5,Malawi
2015-02-10,27,17,0.0,12.8,6,46,10:32 PM,10:31 AM,05:41 AM,06:17 PM,18,21,22,21,10,41,83,3.4,1013,27,8,73,7,Malawi
2015-02-11,24,17,0.0,11.9,5,38,11:17 PM,11:21 AM,05:41 AM,06:17 PM,18,20,21,20,10,52,87,0.0,1014,24,8,86,6,Malawi
2015-02-12,29,16,0.0,12.7,6,31,No moonrise,12:12 PM,05:42 AM,06:16 PM,17,22,23,22,8,19,78,3.4,1012,29,8,84,5,Malawi
2015-02-13,27,16,0.0,12.7,6,23,12:04 AM,01:06 PM,05:42 AM,06:16 PM,19,21,22,21,5,35,85,1.5,1010,27,7,130,3,Malawi
2015-02-14,26,17,0.0,12.7,6,16,12:56 AM,02:01 PM,05:42 AM,06:16 PM,19,22,23,22,9,35,86,3.7,1010,26,7,223,5,Malawi
2015-02-15,25,18,0.0,11.9,6,8,01:51 AM,02:58 PM,05:43 AM,06:15 PM,19,21,21,21,16,76,89,0.0,1010,25,5,284,11,Malawi
2015-02-16,24,18,0.0,9.3,5,1,02:50 AM,03:55 PM,05:43 AM,06:15 PM,19,20,21,20,12,80,92,17.0,1011,24,5,238,8,Malawi
2015-02-17,24,17,0.0,10.6,4,0,03:52 AM,04:50 PM,05:43 AM,06:14 PM,18,20,21,20,9,78,92,0.5,1013,24,4,139,5,Malawi
2015-02-18,20,16,0.0,9.3,4,0,04:54 AM,05:45 PM,05:44 AM,06:14 PM,17,18,18,18,7,67,92,0.0,1013,20,7,142,4,Malawi
2015-02-19,27,15,0.0,12.7,6,0,05:56 AM,06:37 PM,05:44 AM,06:13 PM,18,21,22,21,6,50,84,2.7,1011,27,6,84,4,Malawi
2015-02-20,29,16,0.0,12.7,6,7,06:58 AM,07:28 PM,05:44 AM,06:13 PM,18,23,23,22,7,21,80,0.0,1009,29,8,120,4,Malawi
2015-02-21,26,18,0.0,12.7,6,14,07:59 AM,08:18 PM,05:45 AM,06:12 PM,19,21,22,21,7,45,87,5.4,1010,26,8,92,4,Malawi
2015-02-22,25,17,0.0,12.7,6,22,08:58 AM,09:08 PM,05:45 AM,06:12 PM,19,21,22,21,11,36,88,2.2,1012,25,6,93,7,Malawi
2015-02-23,23,18,0.0,10.5,6,29,09:56 AM,09:57 PM,05:45 AM,06:11 PM,19,20,21,20,10,83,93,4.5,1014,23,6,144,6,Malawi
2015-02-24,25,17,0.0,12.7,6,37,10:53 AM,10:47 PM,05:45 AM,06:11 PM,19,21,21,21,7,66,90,3.0,1013,25,6,173,4,Malawi
2015-02-25,24,16,0.0,10.5,5,44,11:49 AM,11:38 PM,05:45 AM,06:10 PM,19,20,20,20,8,83,94,0.2,1011,24,5,198,5,Malawi
2015-02-26,23,17,0.0,10.5,4,52,12:42 PM,No moonset,05:46 AM,06:10 PM,19,19,20,19,5,85,96,0.4,1011,23,3,222,4,Malawi
2015-02-27,26,17,0.0,9.2,5,60,01:34 PM,12:28 AM,05:46 AM,06:09 PM,19,21,22,21,4,71,91,4.3,1010,26,6,195,2,Malawi
2015-02-28,26,17,0.0,12.6,6,67,02:22 PM,01:19 AM,05:46 AM,06:09 PM,18,21,22,21,7,42,82,1.3,1011,26,9,161,4,Malawi
2015-03-01,26,17,0.0,12.6,6,72,03:09 PM,02:08 AM,05:46 AM,06:08 PM,18,21,22,21,7,46,83,2.0,1010,26,6,191,4,Malawi
2015-03-02,26,16,0.0,11.9,5,79,03:53 PM,02:58 AM,05:47 AM,06:08 PM,19,21,21,21,7,53,90,9.2,1011,26,7,228,4,Malawi
2015-03-03,25,16,0.0,10.5,5,86,04:35 PM,03:47 AM,05:47 AM,06:07 PM,18,19,20,19,14,53,90,8.7,1014,25,7,163,9,Malawi
2015-03-04,24,15,0.0,12.6,5,94,05:15 PM,04:34 AM,05:47 AM,06:06 PM,16,19,20,19,14,40,83,0.0,1015,24,7,173,9,Malawi
2015-03-05,24,13,0.0,12.6,5,100,05:54 PM,05:21 AM,05:47 AM,06:06 PM,14,18,19,18,11,26,78,0.0,1014,24,8,190,7,Malawi
2015-03-06,25,12,0.0,12.6,5,100,06:32 PM,06:07 AM,05:47 AM,06:05 PM,13,18,19,18,11,12,73,0.0,1014,25,10,178,7,Malawi
2015-03-07,19,16,0.0,9.2,4,84,07:11 PM,06:53 AM,05:47 AM,06:05 PM,17,18,18,18,10,67,95,3.0,1014,19,4,196,6,Malawi
2015-03-08,25,16,0.0,12.6,5,77,07:50 PM,07:40 AM,05:48 AM,06:04 PM,18,20,21,20,6,51,88,1.1,1013,25,6,124,4,Malawi
2015-03-09,26,15,0.0,12.6,6,70,08:31 PM,08:27 AM,05:48 AM,06:03 PM,17,20,21,20,7,49,85,1.0,1013,26,5,119,5,Malawi
2015-03-10,24,17,0.0,9.2,4,63,09:14 PM,09:16 AM,05:48 AM,06:03 PM,18,20,21,20,11,71,90,2.2,1012,24,5,116,7,Malawi
2015-03-11,24,17,0.0,10.5,5,55,10:00 PM,10:06 AM,05:48 AM,06:02 PM,18,20,21,20,10,72,90,2.6,1012,24,6,97,6,Malawi
2015-03-12,25,16,0.0,10.5,5,48,10:48 PM,10:58 AM,05:48 AM,06:01 PM,18,20,21,20,9,71,88,2.0,1013,25,6,96,6,Malawi
2015-03-13,25,16,0.0,11.8,6,41,11:41 PM,11:52 AM,05:48 AM,06:01 PM,18,20,21,20,8,64,88,2.1,1013,25,6,119,5,Malawi
2015-03-14,25,16,0.0,10.5,5,34,No moonrise,12:45 PM,05:48 AM,06:00 PM,18,20,21,20,9,64,88,2.1,1013,25,6,111,6,Malawi
2015-03-15,25,16,0.0,8.8,6,26,12:36 AM,01:40 PM,05:48 AM,05:59 PM,18,20,21,20,9,70,88,1.7,1013,25,6,116,5,Malawi
2015-03-16,25,17,0.0,8.8,5,19,01:34 AM,02:34 PM,05:49 AM,05:59 PM,18,20,21,20,8,69,89,2.4,1013,25,6,115,5,Malawi
2015-03-17,25,17,0.0,10.2,6,12,02:34 AM,03:28 PM,05:49 AM,05:58 PM,18,20,21,20,8,63,89,2.8,1012,25,6,131,5,Malawi
2015-03-18,24,17,0.0,8.8,5,4,03:35 AM,04:20 PM,05:49 AM,05:57 PM,18,20,21,20,9,68,90,4.5,1013,24,6,148,5,Malawi
