date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,23,11,0.0,12.6,5,31,09:36 AM,09:59 PM,05:57 AM,06:15 PM,14,18,18,18,9,23,82,4.9,1012,23,7,87,6,Burundi
2009-01-02,25,13,0.0,12.6,5,38,10:19 AM,10:40 PM,05:57 AM,06:16 PM,14,19,19,19,12,23,78,0.1,1012,25,7,147,8,Burundi
2009-01-03,24,13,0.0,12.6,5,45,11:03 AM,11:22 PM,05:58 AM,06:16 PM,15,18,19,18,10,37,81,1.4,1013,24,6,156,6,Burundi
2009-01-04,19,13,0.0,11.8,5,52,11:50 AM,No moonset,05:58 AM,06:17 PM,15,16,16,16,8,56,90,5.9,1013,19,7,167,5,Burundi
2009-01-05,23,12,0.0,12.6,5,60,12:39 PM,12:06 AM,05:59 AM,06:17 PM,14,18,18,18,7,32,83,1.4,1011,23,8,122,4,Burundi
2009-01-06,21,13,0.0,12.6,5,67,01:33 PM,12:55 AM,05:59 AM,06:18 PM,15,18,18,18,10,43,88,7.2,1011,21,8,145,6,Burundi
2009-01-07,21,14,0.0,12.2,4,74,02:32 PM,01:49 AM,06:00 AM,06:18 PM,16,18,18,18,9,52,88,3.6,1011,21,8,115,6,Burundi
2009-01-08,22,13,0.0,12.2,5,82,03:37 PM,02:49 AM,06:00 AM,06:18 PM,15,17,18,17,13,62,88,4.5,1012,22,5,116,8,Burundi
2009-01-09,21,12,0.0,11.6,4,89,04:43 PM,03:54 AM,06:01 AM,06:19 PM,15,17,18,17,11,34,85,1.6,1013,21,7,96,7,Burundi
2009-01-10,25,11,0.0,11.6,5,96,05:49 PM,05:01 AM,06:01 AM,06:19 PM,13,18,19,18,8,15,75,0.2,1013,25,9,148,6,Burundi
2009-01-11,25,11,0.0,11.6,5,100,06:50 PM,06:07 AM,06:01 AM,06:19 PM,14,19,19,19,10,18,76,0.0,1013,25,8,160,6,Burundi
2009-01-12,25,12,0.0,11.6,5,89,07:47 PM,07:09 AM,06:02 AM,06:20 PM,14,19,19,19,11,25,78,0.0,1012,25,7,136,7,Burundi
2009-01-13,25,13,0.0,11.6,5,82,08:38 PM,08:05 AM,06:02 AM,06:20 PM,14,19,19,19,11,17,77,0.0,1013,25,8,117,8,Burundi
2009-01-14,25,12,0.0,11.6,5,75,09:25 PM,08:57 AM,06:03 AM,06:20 PM,14,19,19,19,10,23,78,1.5,1012,25,8,115,7,Burundi
2009-01-15,25,12,0.0,11.6,5,68,10:09 PM,09:47 AM,06:03 AM,06:21 PM,14,19,19,19,12,26,78,0.7,1011,25,8,106,8,Burundi
2009-01-16,24,13,0.0,11.6,5,60,10:53 PM,10:33 AM,06:03 AM,06:21 PM,15,19,19,19,11,32,79,0.0,1011,24,9,59,8,Burundi
2009-01-17,23,13,0.0,11.6,5,53,11:37 PM,11:20 AM,06:04 AM,06:21 PM,14,18,19,18,13,33,79,0.0,1011,23,9,50,9,Burundi
2009-01-18,24,13,0.0,11.6,5,46,No moonrise,12:06 PM,06:04 AM,06:21 PM,15,18,19,18,12,32,80,2.2,1010,24,9,91,8,Burundi
2009-01-19,24,12,0.0,11.6,5,38,12:21 AM,12:53 PM,06:05 AM,06:22 PM,15,19,19,19,8,27,80,4.1,1010,24,10,67,5,Burundi
2009-01-20,21,13,0.0,10.2,5,31,01:07 AM,01:43 PM,06:05 AM,06:22 PM,15,18,18,18,11,47,87,9.0,1012,21,9,266,7,Burundi
2009-01-21,21,14,0.0,10.2,5,24,01:55 AM,02:32 PM,06:05 AM,06:22 PM,16,18,18,18,8,51,89,10.8,1013,21,7,168,5,Burundi
2009-01-22,19,15,0.0,11.6,5,17,02:45 AM,03:24 PM,06:06 AM,06:22 PM,15,17,17,17,11,51,89,3.5,1014,19,8,180,8,Burundi
2009-01-23,21,13,0.0,10.2,5,9,03:36 AM,04:14 PM,06:06 AM,06:23 PM,15,18,18,18,8,38,86,2.8,1013,21,10,193,5,Burundi
2009-01-24,23,14,0.0,10.2,5,2,04:26 AM,05:03 PM,06:06 AM,06:23 PM,15,18,19,18,9,41,84,8.6,1012,23,6,134,6,Burundi
2009-01-25,21,14,0.0,11.6,5,0,05:16 AM,05:50 PM,06:07 AM,06:23 PM,16,18,18,18,11,43,90,6.0,1013,21,7,159,7,Burundi
2009-01-26,23,14,0.0,11.6,5,0,06:04 AM,06:35 PM,06:07 AM,06:23 PM,15,18,18,18,14,36,86,1.3,1013,23,7,144,9,Burundi
2009-01-27,20,15,0.0,11.6,5,5,06:50 AM,07:18 PM,06:07 AM,06:23 PM,16,18,18,18,9,45,88,0.3,1013,20,9,103,7,Burundi
2009-01-28,21,15,0.0,8.8,5,12,07:35 AM,07:59 PM,06:07 AM,06:23 PM,16,18,18,18,10,58,87,2.0,1012,21,10,135,7,Burundi
2009-01-29,22,13,0.0,10.2,5,20,08:18 AM,08:40 PM,06:08 AM,06:23 PM,15,18,19,18,11,49,85,7.4,1012,22,6,145,7,Burundi
2009-01-30,21,16,0.0,10.2,4,27,09:02 AM,09:21 PM,06:08 AM,06:23 PM,16,19,19,19,6,48,88,6.5,1012,21,8,130,4,Burundi
2009-01-31,22,15,0.0,10.2,5,31,09:48 AM,10:04 PM,06:08 AM,06:24 PM,16,19,19,19,7,42,87,3.3,1011,22,7,203,4,Burundi
2009-02-01,22,15,0.0,10.2,5,43,10:34 AM,10:50 PM,06:08 AM,06:24 PM,16,18,19,18,11,44,86,7.3,1012,22,8,127,7,Burundi
2009-02-02,21,15,0.0,8.8,5,50,11:26 AM,11:41 PM,06:09 AM,06:24 PM,16,18,18,18,11,55,89,11.5,1013,21,7,139,8,Burundi
2009-02-03,22,16,0.0,10.2,5,58,12:21 PM,No moonset,06:09 AM,06:24 PM,16,18,18,18,11,51,88,1.4,1013,22,6,141,8,Burundi
2009-02-04,20,14,0.0,10.2,5,66,01:21 PM,12:36 AM,06:09 AM,06:24 PM,16,17,17,17,10,44,90,2.6,1013,20,7,187,7,Burundi
2009-02-05,22,13,0.0,11.6,5,73,02:24 PM,01:37 AM,06:09 AM,06:24 PM,15,18,18,18,10,40,86,4.9,1013,22,7,140,6,Burundi
2009-02-06,20,15,0.0,10.2,5,81,03:28 PM,02:40 AM,06:09 AM,06:24 PM,16,17,17,17,9,60,90,1.0,1013,20,6,193,6,Burundi
2009-02-07,23,14,0.0,8.8,5,88,04:30 PM,03:45 AM,06:09 AM,06:24 PM,16,18,19,18,10,56,87,34.6,1011,23,7,213,6,Burundi
2009-02-08,21,14,0.0,11.6,5,96,05:29 PM,04:48 AM,06:10 AM,06:24 PM,15,17,18,17,8,55,86,8.0,1012,21,8,212,6,Burundi
2009-02-09,21,14,0.0,8.8,5,100,06:22 PM,05:47 AM,06:10 AM,06:23 PM,16,18,18,18,7,61,89,8.8,1014,21,6,196,5,Burundi
